member_supplier_name~membership_number~catalogue_name~brand_name~label_name~appa_product_code~product_code~product_name~product_code_group~categorisation~category_ /_sub category~Memento Category~additional_keywords~product_tags~discontinued_stock~product_description~description_additional~product_features~product_materials~product_item_size~product_packaging_inner~product_image_file_name~alternate_views_image_file_names~group_image_file_name~colours_available_appa~colours_available_supplier~colour_image_file_names~colour_product_codes~product_sizes~size_images~size_product_code~decoration_options_available~decoration_areas~indent_only~branded~custom_field_1~custom_field_2~custom_field_3~price_decoration_description~decoration position ~decoration color~decoration_type~price_product_code~price_notes~MOQ~IOQ~qty_1~sell_1~qty_2~sell_2~qty_3~sell_3~qty_4~sell_4~qty_5~sell_5~qty_6~sell_6~qty_7~sell_7~qty_8~sell_8~additional_charges_name1~additional_charge_value1~Set-up Charge~additional_charges_notes1~additional_charges_name2~additional_charge_value2~additional_charges_notes2~carton_height~carton_width~carton_depth~carton_weight~carton_qty~carton_cubic~carton_notes~freight_description~product_URL
1010~2164~The Range 2017~~~~21M627S~Grobisen Series Twist Action Pen - Silver~21M627~21M21M627~Promotions/Conference Essentials | Writing Instruments/Ballpoint Pens | ~Writing Instruments | Metal Pens~Writing Instruments |  Ballpoint Pen |  pen grobisen series twist action metal black ink silver silver trim |  Silver~~FALSE~Metal twist action ballpoint pen. Supplied with black ink~Great value pens are modern in design. Engraves silver~~Anodized Aluminium~135mm(h) x 12mm(w)~Polybag~627S.jpg~627S_0009.jpg | 627S_0007.jpg | 627S_0006.jpg | 627RD.jpg | 627BL.jpg | 627BK.jpg | 627-GEN.jpg~627-GEN.jpg~Blue | Red |  Silver |  Black~Blue | Red |  Silver |  Black~~~~~~Colour Print  |  Full Colour Print  |  Laser Engrave ~Pad/Laser: 31mm(h) x 7mm(w)~FALSE~FALSE~Last created : 26/Aug/16~~~Item + 2 colour pad print (2 colours)~1 position~2 colour~Pad Print~Pad Print~~10~~10~27.82~25~13.29~50~8.17~100~5.61~250~3.75~500~3.50~1000~3.29~2500~2.83~Setup~140~200~Repeat Setup Cost: $35~Pre Production Sample~~$85.00 +$45.00 per colour + $50.00 per colour (if job proceeds)~340~340~170~12~500~0.019652~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?627S
1011~2164~The Range 2017~~~~21M627S~Grobisen Series Twist Action Pen - Silver~21M627~21M21M627~Promotions/Conference Essentials | Writing Instruments/Ballpoint Pens | ~Writing Instruments | Metal Pens~Writing Instruments |  Ballpoint Pen |  pen grobisen series twist action metal black ink silver silver trim |  Silver~~FALSE~Metal twist action ballpoint pen. Supplied with black ink~Great value pens are modern in design. Engraves silver~~Anodized Aluminium~135mm(h) x 12mm(w)~Polybag~627S.jpg~627S_0009.jpg | 627S_0007.jpg | 627S_0006.jpg | 627RD.jpg | 627BL.jpg | 627BK.jpg | 627-GEN.jpg~627-GEN.jpg~Blue | Red |  Silver |  Black~Blue | Red |  Silver |  Black~~~~~~Colour Print  |  Full Colour Print  |  Laser Engrave ~Pad/Laser: 31mm(h) x 7mm(w)~FALSE~FALSE~Last created : 26/Aug/16~~~Item + Laser Engrave~1 position~Tone on tone~Laser Engrave~Laser Engrave~Packed into pen box.  Subtle result - Cannot be Blackened~10~~10~7.66~25~5.93~50~5.24~100~4.55~250~4.10~500~3.74~1000~3.50~2500~2.90~Setup~75~105~Repeat Setup Cost: $25~Pre Production Sample~~$25~340~340~170~12~500~0.019652~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?627S
1012~2164~The Range 2017~~~~21M628RD~Kingston Click Ballpoint Pen~21M628~21M21M628~Writing Instruments/Ballpoint Pens | ~Writing Instruments | Metal Pens~Writing Instruments |  Ballpoint Pen |  pen kingston click series ballpoint metal black ink silver silver trim | Red with Silver Trim~~FALSE~Metal click action ballpoint pen. Supplied with black ink.~This light weight pen has 5 silver bands at the base of the pen. Engraves silver~~Anodized Aluminum~140mm(h) x 10mm(w)~Polybag~628RD.jpg~628RD_0012.jpg | 628RD_0006.jpg | 628RD_0004.jpg | 628RD_0007.jpg | 628RD_0011.jpg | 628BL.jpg | 628BK.jpg 628-GEN.jpg~628-GEN.jpg~Black |  Blue (REFLXE BLUE) | Red (1945)~Black |  Blue (REFLXE BLUE) | Red (1945)~~~~~~Colour Print  |  Full Colour Print  |  Laser Engrave ~Pad/Laser: 50mm(h) x 6mm(w)~FALSE~FALSE~Last created : 26/Aug/16~~~Item + 1 colour pad print (1 colour)~1 position~1 colour~Pad Print~Pad Print~~10~~10~14.58~25~7.32~50~4.76~100~3.48~250~2.61~500~2.42~1000~2.23~2500~1.94~Setup~85~120~Repeat Setup Cost: $50~Pre Production Sample~~$85.00 +$45.00 per colour + $50.00 per colour (if job proceeds)~330~290~190~9~500~0.018183~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?628RD
1013~2164~The Range 2017~~~~21M628RD~Kingston Click Ballpoint Pen~21M628~21M21M628~Writing Instruments/Ballpoint Pens | ~Writing Instruments | Metal Pens~Writing Instruments |  Ballpoint Pen |  pen kingston click series ballpoint metal black ink silver silver trim | Red with Silver Trim~~FALSE~Metal click action ballpoint pen. Supplied with black ink.~This light weight pen has 5 silver bands at the base of the pen. Engraves silver~~Anodized Aluminum~140mm(h) x 10mm(w)~Polybag~628RD.jpg~628RD_0012.jpg | 628RD_0006.jpg | 628RD_0004.jpg | 628RD_0007.jpg | 628RD_0011.jpg | 628BL.jpg | 628BK.jpg 628-GEN.jpg~628-GEN.jpg~Black |  Blue (REFLXE BLUE) | Red (1945)~Black |  Blue (REFLXE BLUE) | Red (1945)~~~~~~Colour Print  |  Full Colour Print  |  Laser Engrave ~Pad/Laser: 50mm(h) x 6mm(w)~FALSE~FALSE~Last created : 26/Aug/16~~~Item + 2 colour pad print (2 colours)~1 position~2 colour~Pad Print~Pad Print~~10~~10~27.04~25~12.51~50~7.39~100~4.83~250~3.17~500~2.92~1000~2.65~2500~2.24~Setup~140~200~Repeat Setup Cost: $35~Pre Production Sample~~$85.00 +$45.00 per colour + $50.00 per colour (if job proceeds)~330~290~190~9~500~0.018183~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?628RD
1014~2164~The Range 2017~~~~21M628RD~Kingston Click Ballpoint Pen~21M628~21M21M628~Writing Instruments/Ballpoint Pens | ~Writing Instruments | Metal Pens~Writing Instruments |  Ballpoint Pen |  pen kingston click series ballpoint metal black ink silver silver trim | Red with Silver Trim~~FALSE~Metal click action ballpoint pen. Supplied with black ink.~This light weight pen has 5 silver bands at the base of the pen. Engraves silver~~Anodized Aluminum~140mm(h) x 10mm(w)~Polybag~628RD.jpg~628RD_0012.jpg | 628RD_0006.jpg | 628RD_0004.jpg | 628RD_0007.jpg | 628RD_0011.jpg | 628BL.jpg | 628BK.jpg 628-GEN.jpg~628-GEN.jpg~Black |  Blue (REFLXE BLUE) | Red (1945)~Black |  Blue (REFLXE BLUE) | Red (1945)~~~~~~Colour Print  |  Full Colour Print  |  Laser Engrave ~Pad/Laser: 50mm(h) x 6mm(w)~FALSE~FALSE~Last created : 26/Aug/16~~~Item + Laser Engrave~1 position~Tone on tone~Laser Engrave~Laser Engrave~Packed into a presentation box~10~~10~6.89~25~5.16~50~4.46~100~3.77~250~3.40~500~3.17~1000~2.85~2500~2.32~Setup~75~105~Repeat Setup Cost: $25~Pre Production Sample~~$25~330~290~190~9~500~0.018183~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?628RD
1015~2164~The Range 2017~~~~21M633~Gosfield Rollerball Pen~21M633~21M21M633~Writing Instruments/Rollerball Pens | ~Writing Instruments | Metal Pens~Writing Instruments |  Rollerball Pen |  Matt | silver | finish | with | shiny | silver | accents | Pen |  Silver~~FALSE~Matt silver finish with shiny silver accents. Supplied with black ink.~Engraves shiny silver.~~metal/Matt silver finish~136mm(h) x 13mm Ø~Polybag~633.jpg~  ~~~~~~~~~Colour Print  |  Full Colour Print  |  Laser Engrave ~Laser: 40mm(w) x 7mm(h).  Pad: 40mm(w) x 9mm(h)~FALSE~FALSE~Last created : 26/Aug/16~~~Item + 1 colour pad print (1 colour)~1 position~1 colour~Pad Print~Pad Print~~10~~10~25.69~25~18.42~50~15.86~100~13.47~250~11.85~500~10.59~1000~9.51~2500~9.43~Setup~85~120~Repeat Setup Cost: $50~Pre Production Sample~~$85.00 +$45.00 per colour + $50.00 per colour (if job proceeds)~360~360~215~16.5~400~0.027864~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?633
1016~2164~The Range 2017~~~~21M633~Gosfield Rollerball Pen~21M633~21M21M633~Writing Instruments/Rollerball Pens | ~Writing Instruments | Metal Pens~Writing Instruments |  Rollerball Pen |  Matt | silver | finish | with | shiny | silver | accents | Pen |  Silver~~FALSE~Matt silver finish with shiny silver accents. Supplied with black ink.~Engraves shiny silver.~~metal/Matt silver finish~136mm(h) x 13mm Ø~Polybag~633.jpg~  ~~~~~~~~~Colour Print  |  Full Colour Print  |  Laser Engrave ~Laser: 40mm(w) x 7mm(h).  Pad: 40mm(w) x 9mm(h)~FALSE~FALSE~Last created : 26/Aug/16~~~Item + 2 colour pad print (2 colours)~1 position~2 colour~Pad Print~Pad Print~~10~~10~38.15~25~23.61~50~17.82~100~14.77~250~12.37~500~11.03~1000~9.88~2500~9.71~Setup~140~200~Repeat Setup Cost: $35~Pre Production Sample~~$85.00 +$45.00 per colour + $50.00 per colour (if job proceeds)~360~360~215~16.5~400~0.027864~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?633
1017~2164~The Range 2017~~~~21M633~Gosfield Rollerball Pen~21M633~21M21M633~Writing Instruments/Rollerball Pens | ~Writing Instruments | Metal Pens~Writing Instruments |  Rollerball Pen |  Matt | silver | finish | with | shiny | silver | accents | Pen |  Silver~~FALSE~Matt silver finish with shiny silver accents. Supplied with black ink.~Engraves shiny silver.~~metal/Matt silver finish~136mm(h) x 13mm Ø~Polybag~633.jpg~  ~~~~~~~~~Colour Print  |  Full Colour Print  |  Laser Engrave ~Laser: 40mm(w) x 7mm(h).  Pad: 40mm(w) x 9mm(h)~FALSE~FALSE~Last created : 26/Aug/16~~~Item + Laser Engrave~1 position~Tone on tone~Laser Engrave~Laser Engrave~Packed into a presentation box.  Blackening $0.40 additional~10~~10~17.99~25~16.26~50~15.57~100~13.75~250~12.71~500~11.26~1000~10.06~2500~9.78~Setup~75~105~Repeat Setup Cost: $25~Pre Production Sample~~$25~360~360~215~16.5~400~0.027864~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?633
1018~2164~The Range 2017~~~~21M634~Gosfield Ballpoint Pen~21M634~21M21M634~Writing Instruments/Ballpoint Pens | ~Writing Instruments | Metal Pens~Writing Instruments |  Ballpoint Pen |  Matt | silver | finish | with | shiny | silver | accents | Pen |  Silver~~FALSE~Matt silver finish with shiny silver accents. Supplied with black ink.~Engraves shiny silver.~~metal/Matt silver finish~140mm(h) x 13mm Ø~Polybag~634.jpg~634_0005.jpg | ~~~~~~~~~Colour Print  |  Full Colour Print  |  Laser Engrave ~Laser: 40mm(w) x 7mm(h).  Pad: 40mm(w) x 9mm(h)~FALSE~FALSE~Last created : 26/Aug/16~~~Item + 1 colour pad print (1 colour)~1 position~1 colour~Pad Print~Pad Print~~10~~10~24.48~25~17.21~50~14.65~100~12.37~250~10.84~500~9.67~1000~8.69~2500~8.61~Setup~85~120~Repeat Setup Cost: $50~Pre Production Sample~~$85.00 +$45.00 per colour + $50.00 per colour (if job proceeds)~360~360~215~15.2~400~0.027864~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?634
1019~2164~The Range 2017~~~~21M634~Gosfield Ballpoint Pen~21M634~21M21M634~Writing Instruments/Ballpoint Pens | ~Writing Instruments | Metal Pens~Writing Instruments |  Ballpoint Pen |  Matt | silver | finish | with | shiny | silver | accents | Pen |  Silver~~FALSE~Matt silver finish with shiny silver accents. Supplied with black ink.~Engraves shiny silver.~~metal/Matt silver finish~140mm(h) x 13mm Ø~Polybag~634.jpg~634_0005.jpg | ~~~~~~~~~Colour Print  |  Full Colour Print  |  Laser Engrave ~Laser: 40mm(w) x 7mm(h).  Pad: 40mm(w) x 9mm(h)~FALSE~FALSE~Last created : 26/Aug/16~~~Item + 2 colour pad print (2 colours)~1 position~2 colour~Pad Print~Pad Print~~10~~10~36.94~25~22.40~50~17.28~100~13.67~250~11.35~500~10.12~1000~9.06~2500~8.89~Setup~140~200~Repeat Setup Cost: $35~Pre Production Sample~~$85.00 +$45.00 per colour + $50.00 per colour (if job proceeds)~360~360~215~15.2~400~0.027864~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?634
1020~2164~The Range 2017~~~~21M634~Gosfield Ballpoint Pen~21M634~21M21M634~Writing Instruments/Ballpoint Pens | ~Writing Instruments | Metal Pens~Writing Instruments |  Ballpoint Pen |  Matt | silver | finish | with | shiny | silver | accents | Pen |  Silver~~FALSE~Matt silver finish with shiny silver accents. Supplied with black ink.~Engraves shiny silver.~~metal/Matt silver finish~140mm(h) x 13mm Ø~Polybag~634.jpg~634_0005.jpg | ~~~~~~~~~Colour Print  |  Full Colour Print  |  Laser Engrave ~Laser: 40mm(w) x 7mm(h).  Pad: 40mm(w) x 9mm(h)~FALSE~FALSE~Last created : 26/Aug/16~~~Item + Laser Engrave~1 position~Tone on tone~Laser Engrave~Laser Engrave~Packed into a presentation box.  Blackening $0.40 additional~10~~10~16.78~25~15.05~50~14.36~100~12.65~250~11.69~500~10.35~1000~9.24~2500~8.96~Setup~75~105~Repeat Setup Cost: $25~Pre Production Sample~~$25~360~360~215~15.2~400~0.027864~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?634
