member_supplier_name,membership_number,catalogue_name,brand_name,label_name,appa_product_code,product_code,product_name,product_code_group,categorisation,category_ /_sub category,Memento Category,additional_keywords,product_tags,discontinued_stock,product_description,description_additional,product_features,product_materials,product_item_size,product_packaging_inner,product_image_file_name,alternate_views_image_file_names,group_image_file_name,colours_available_appa,colours_available_supplier,colour_image_file_names,colour_product_codes,product_sizes,size_images,size_product_code,decoration_options_available,decoration_areas,indent_only,branded,custom_field_1,custom_field_2,custom_field_3,price_decoration_description,decoration position ,decoration color,decoration_type,price_product_code,price_notes,MOQ,IOQ,qty_1,sell_1,qty_2,sell_2,qty_3,sell_3,qty_4,sell_4,qty_5,sell_5,qty_6,sell_6,qty_7,sell_7,qty_8,sell_8,additional_charges_name1,additional_charge_value1,Set-up Charge,additional_charges_notes1,additional_charges_name2,additional_charge_value2,additional_charges_notes2,carton_height,carton_width,carton_depth,carton_weight,carton_qty,carton_cubic,carton_notes,freight_description,product_URL
1,S005115,Bags Stock - Grace Collection Products Catalogue V1,,,,14MG1000,Classic Sports Bag,Bags | Duffle & Sports Bags,,,Bags | Duffle & Sports Bags,,,NO,"Zippered front pocket, Zippered pockets at each end, Large main compartment closes with double zip, Strong carry handle with wraparound velcro closure, Studded base for durability",,,600 Denier Nylon,60cm (W) x 33cm (H) x 27cm (D),,G1000.jpg,,,"Black/Yellow, Maroon/White, Navy/White, Black, Black/Red, Black/Royal","Black-Yellow, Maroon-White, Navy-White, Black, Black-Red, Black-Royal",,,,,,,"Top Panel: 20cm (W) x 15cm (H), Front Panel: 25cm (W) x 15cm (H)",,,,,,,1 Position,1 Colour,Plastisol Transfer,,,,,25,35.17,50,33.39,100,33.06,250,28.19,,, ,,,,,,,,75,,,,,,,,,"16 units-box, 55cm x 37cm x 52cm, 21kg",,,,
40,,Bags Stock - Grace Collection Products Catalogue V40,,,,14MG1601,Precinct Sports Bag,Bags | Duffle & Sports Bags,,,Bags | Duffle & Sports Bags,,,YES,"Large centre compartment with U-shaped opening, Front large zippered pocket, Large zippered pockets at each end, Adjustable shoulder strap with carry handle",,,600 Denier Nylon,52cm (W) x 30cm (H) x 27cm (D),,G1601.jpg,,,"Royal/Grey/Black, Red/White/Black, Gold/White/Bottle, Sky/White/Navy, Black/White/Black","Royal-Grey-Black, Red-White-Black, Gold-White-Bottle, Sky-White-Navy, Black-White-Black",,,,,,,"Front Lower Panel: 12cm (W) x 8cm (H), Front Upper Panel: 12cm (W) x 5cm (H), Top Panel: 20cm (W) x 15cm (H)",,,,,,,1 Position,Medium,Embroidery,,,,,25,19.55,50,17.21,100,16.25,250,15.48,,,,,,,,,,,75,,,,,,,,,"15 units-box, 51cm x 34.5cm x 47cm, 16.5kg",,,,
41,,Bags Stock - Grace Collection Products Catalogue V41,,,,14MG1602,Precinct Backpack,Bags | Backpacks & Backsacks,,,Bags | Backpacks & Backsacks,,,NO,"Zippered main compartment with inner elastic bag, Large zippered pocket on each side, Adjustable backpack strap with carry handle",,,600 Denier Nylon,30cm (W) x 42cm (H) x 15cm (D),,"G1602_A.jpg, G1602_B.jpg",,,"Royal/Grey/Black, Red/White/Black, Gold/White/Bottle, Sky/White/Navy, Black/White/Black","Royal-Grey-Black, Red-White-Black, Gold-White-Bottle, Sky-White-Navy, Black-White-Black",,,,,,,"Front Lower Panel: 10cm (W) x 7cm (H), Front Upper Panel: 10cm (W) x 7cm (H)",,,,,,,1 Position,1 Colour,Plastisol Transfer,,,,,25,23.79,50,22.25,100,21.21,250,19.36,,,,,,,,,,,75,,,,,,,,,"25 units-box, 47cm x 33cm x 51cm, 11.5kg",,,,
41,,Bags Stock - Grace Collection Products Catalogue V41,,,,14MG1602,Precinct Backpack,Bags | Backpacks & Backsacks,,,Bags | Backpacks & Backsacks,,,NO,"Zippered main compartment with inner elastic bag, Large zippered pocket on each side, Adjustable backpack strap with carry handle",,,600 Denier Nylon,30cm (W) x 42cm (H) x 15cm (D),,"G1602_A.jpg, G1602_B.jpg",,,"Royal/Grey/Black, Red/White/Black, Gold/White/Bottle, Sky/White/Navy, Black/White/Black","Royal-Grey-Black, Red-White-Black, Gold-White-Bottle, Sky-White-Navy, Black-White-Black",,,,,,,"Front Lower Panel: 10cm (W) x 7cm (H), Front Upper Panel: 10cm (W) x 7cm (H)",,,,,,,1 Position,Medium,Embroidery,,,,,25,25.69,50,22.5,100,21.45,250,19.66,,,,,,,,,,,75,,,,,,,,,"25 units-box, 47cm x 33cm x 51cm, 11.5kg",,,,
42,,Bags Stock - Grace Collection Products Catalogue V42,,,,14MG1616,Roll Sports Bag,Bags | Duffle & Sports Bags,,,Bags | Duffle & Sports Bags,,,NO,"Main compartment with zip closure, Large front zippered pocket, Large mesh pocket on each end, Adjustable and detachable shoulder strap with carry handle",,,600 Denier Nylon,50cm (W) x 26cm (H) x 26cm (D),,G1616.jpg,,,"Grey/Steel, Khaki/Black, Pink/Hot Pink","Grey-Steel, Khaki-Black, Pink-Hot Pink",,,,,,,"Top Panel: 14cm (W) x 7cm (H), Front Panel: 12cm (W) x 7cm (H)",,,,,,,1 Position,1 Colour,Plastisol Transfer,,,,,25,22.49,50,21,100,20,250,18.24,,,,,,,,,,,75,,,,,,,,,"30 units-box, 51cm x 30.5cm x 48cm, 16.5kg",,,,
42,,Bags Stock - Grace Collection Products Catalogue V42,,,,14MG1616,Roll Sports Bag,Bags | Duffle & Sports Bags,,,Bags | Duffle & Sports Bags,,,NO,"Main compartment with zip closure, Large front zippered pocket, Large mesh pocket on each end, Adjustable and detachable shoulder strap with carry handle",,,600 Denier Nylon,50cm (W) x 26cm (H) x 26cm (D),,G1616.jpg,,,"Grey/Steel, Khaki/Black, Pink/Hot Pink","Grey-Steel, Khaki-Black, Pink-Hot Pink",,,,,,,"Top Panel: 14cm (W) x 7cm (H), Front Panel: 12cm (W) x 7cm (H)",,,,,,,1 Position,Medium,Embroidery,,,,,25,24.39,50,21.25,100,20.24,250,18.54,,,,,,,,,,,75,,,,,,,,,"30 units-box, 51cm x 30.5cm x 48cm, 16.5kg",,,,
43,,Bags Stock - Grace Collection Products Catalogue V43,,,,14MG1750,Tri-Colour Sports Bag,Bags | Duffle & Sports Bags,,,Bags | Duffle & Sports Bags,,,NO,"Large centre compartment with U-shaped opening, Large zippered pocket at each end, Strong carry handle with wraparound velcro closure, Removable, adjustable shoulder strap, Studded base for durability",,,600 Denier Nylon,65cm (W) x 30cm (H) x 25cm (D),,G1750.jpg,,,"Black/White/Red, Bottle/White/Yellow, Navy/White/Red, Royal/White/Black, Yellow/White/Black","Black-White-Red, Bottle-White-Yellow, Navy-White-Red, Royal-White-Black, Yellow-White-Black",,,,,,,"Top Panel: 30cm (W) x 17cm (H), Front Panel: 27cm (W) x 14cm (H)",,,,,,,1 Position,1 Colour,Plastisol Transfer,,,,,25,31.31,50,29.5,100,28.23,250,25.87,,,,,,,,,,,75,,,,,,,,,"16 units-box, 59cm x 49cm x 43cm, 18.5kg",,,,
43,,Bags Stock - Grace Collection Products Catalogue V43,,,,14MG1750,Tri-Colour Sports Bag,Bags | Duffle & Sports Bags,,,Bags | Duffle & Sports Bags,,,NO,"Large centre compartment with U-shaped opening, Large zippered pocket at each end, Strong carry handle with wraparound velcro closure, Removable, adjustable shoulder strap, Studded base for durability",,,600 Denier Nylon,65cm (W) x 30cm (H) x 25cm (D),,G1750.jpg,,,"Black/White/Red, Bottle/White/Yellow, Navy/White/Red, Royal/White/Black, Yellow/White/Black","Black-White-Red, Bottle-White-Yellow, Navy-White-Red, Royal-White-Black, Yellow-White-Black",,,,,,,"Top Panel: 30cm (W) x 17cm (H), Front Panel: 27cm (W) x 14cm (H)",,,,,,,1 Position,Medium,Embroidery,,,,,25,33.22,50,29.75,100,28.47,250,26.17,,,,,,,,,,,75,,,,,,,,,"16 units-box, 59cm x 49cm x 43cm, 18.5kg",,,,
44,,Bags Stock - Grace Collection Products Catalogue V44,,,,14MG1800,Deluxe Sports Bag,Bags | Duffle & Sports Bags,,,Bags | Duffle & Sports Bags,,,NO,"Large main compartment with double zip closure, 2 large zippered pockets at each end, Front zippered pocket, Detachable, adjustable shoulder strap",,,600 Denier Nylon,60cm (W) x 30cm (H) x 26cm (D),,G1800.jpg,,,"Black/Grey, Navy/Grey","Black-Grey, Navy-Grey",,,,,,,"Front Panel: 10cm (W) x 10cm (H), Top Panel: 18cm (W) x 10cm (H)",,,,,,,1 Position,1 Colour,Plastisol Transfer,,,,,25,31.14,50,29.33,100,28.06,250,25.72,,,,,,,,,,,75,,,,,,,,,"16 units-box, 53cm x 35cm x 56cm, 17.5kg",,,,
44,,Bags Stock - Grace Collection Products Catalogue V44,,,,14MG1800,Deluxe Sports Bag,Bags | Duffle & Sports Bags,,,Bags | Duffle & Sports Bags,,,NO,"Large main compartment with double zip closure, 2 large zippered pockets at each end, Front zippered pocket, Detachable, adjustable shoulder strap",,,600 Denier Nylon,60cm (W) x 30cm (H) x 26cm (D),,G1800.jpg,,,"Black/Grey, Navy/Grey","Black-Grey, Navy-Grey",,,,,,,"Front Panel: 10cm (W) x 10cm (H), Top Panel: 18cm (W) x 10cm (H)",,,,,,,1 Position,Medium,Embroidery,,,,,25,33.04,50,29.58,100,28.31,250,26.02,,,,,,,,,,,75,,,,,,,,,"16 units-box, 53cm x 35cm x 56cm, 17.5kg",,,,
45,,Bags Stock - Grace Collection Products Catalogue V45,,,,14MG1862,Victory Sports Bag,Bags | Duffle & Sports Bags,,,Bags | Duffle & Sports Bags,,,NO,"Main zippered compartment, Large pocket on both sides, Adjustable and detachable shoulder strap and carry handle",,,420 Denier Nylon,65cm (W) x 32cm (H) x 27cm (D),,"G1862_A.jpg, G1862_B.jpg",,,"Navy/White, Black/Red, Bottle/Gold, Royal/White, Red/Black","Navy-White, Black-Red, Bottle-Gold, Royal-White, Red-Black",,,,,,,"Front Panel: 12cm (W) x 5cm (H), Top Panel: 20cm (W) x 10cm (H)",,,,,,,1 Position,1 Colour,Plastisol Transfer,,,,,25,29.58,50,27.83,100,26.61,250,24.37,,,,,,,,,,,75,,,,,,,,,"16 units-box, 58cm x 36cm x 53cm, 19kg",,,,
45,,Bags Stock - Grace Collection Products Catalogue V45,,,,14MG1862,Victory Sports Bag,Bags | Duffle & Sports Bags,,,Bags | Duffle & Sports Bags,,,NO,"Main zippered compartment, Large pocket on both sides, Adjustable and detachable shoulder strap and carry handle",,,420 Denier Nylon,65cm (W) x 32cm (H) x 27cm (D),,"G1862_A.jpg, G1862_B.jpg",,,"Navy/White, Black/Red, Bottle/Gold, Royal/White, Red/Black","Navy-White, Black-Red, Bottle-Gold, Royal-White, Red-Black",,,,,,,"Front Panel: 12cm (W) x 5cm (H), Top Panel: 20cm (W) x 10cm (H)",,,,,,,1 Position,Medium,Embroidery,,,,,25,31.49,50,28.08,100,26.85,250,24.67,,,,,,,,,,,75,,,,,,,,,"16 units-box, 58cm x 36cm x 53cm, 19kg",,,,
46,,Bags Stock - Grace Collection Products Catalogue V46,,,,14MG2000,Large Sports Bag,Bags | Duffle & Sports Bags,,,Bags | Duffle & Sports Bags,,,NO,"Zippered front pocket, 2 zippered pockets at each end, Large main compatment with U-shape opening",,,600 Denier Nylon,80cm (W) x 40cm (H) x 40cm (D),,G2000.jpg,,,"Black, Navy, Red/Black, Royal/Black","Black, Navy, Red-Black, Royal-Black",,,,,,,"Top Panel: 30cm (W) x 20cm (H), Front Panel: 30cm (W) x 18cm (H)",,,,,,,1 Position,1 Colour,Plastisol Transfer,,,,,25,45,50,42.9,100,39.47,250,36.39,,,,,,,,,,,75,,,,,,,,,"8 units-box, 69cm x 36.5cm x 45cm, 15.5kg",,,,
46,,Bags Stock - Grace Collection Products Catalogue V46,,,,14MG2000,Large Sports Bag,Bags | Duffle & Sports Bags,,,Bags | Duffle & Sports Bags,,,NO,"Zippered front pocket, 2 zippered pockets at each end, Large main compatment with U-shape opening",,,600 Denier Nylon,80cm (W) x 40cm (H) x 40cm (D),,G2000.jpg,,,"Black, Navy, Red/Black, Royal/Black","Black, Navy, Red-Black, Royal-Black",,,,,,,"Top Panel: 30cm (W) x 20cm (H), Front Panel: 30cm (W) x 18cm (H)",,,,,,,1 Position,Medium,Embroidery,,,,,25,46.83,50,43.15,100,39.7,250,36.67,,,,,,,,,,,75,,,,,,,,,"8 units-box, 69cm x 36.5cm x 45cm, 15.5kg",,,,
47,,Bags Stock - Grace Collection Products Catalogue V47,,,,14MG2002,Trolly Travel Bag,Bags | Luggage & Travel Bags,,,Bags | Laptop Bags & Tablet Sleeves,,,NO,"Main compartment with zip closure, Large front secondary compartment, Large front zippered pocket on each side, Internal retractable trolley systems, Adjustable detachable shoulder strap with reinforced carry handle",,,600 Denier Textured Nylon,60cm (W) x 35cm (H) x 30cm (D),,G2002.jpg,,,Black,Black,,,,,,,"Front Panel: 18cm (W) x 8cm (H), Back Panel: 18cm (W) x 8cm (H)",,,,,,,1 Position,1 Colour,Plastisol Transfer,,,,,25,55.08,50,52.66,100,48.52,250,44.79,,,,,,,,,,,75,,,,,,,,,"10 units-box, 69cm x 37cm x 45cm, 18.5kg",,,,
47,,Bags Stock - Grace Collection Products Catalogue V47,,,,14MG2002,Trolly Travel Bag,Bags | Luggage & Travel Bags,,,Bags | Laptop Bags & Tablet Sleeves,,,NO,"Main compartment with zip closure, Large front secondary compartment, Large front zippered pocket on each side, Internal retractable trolley systems, Adjustable detachable shoulder strap with reinforced carry handle",,,600 Denier Textured Nylon,60cm (W) x 35cm (H) x 30cm (D),,G2002.jpg,,,Black,Black,,,,,,,"Front Panel: 18cm (W) x 8cm (H), Back Panel: 18cm (W) x 8cm (H)",,,,,,,1 Position,Medium,Embroidery,,,,,25,56.92,50,52.9,100,48.74,250,45.07,,,,,,,,,,,75,,,,,,,,,"10 units-box, 69cm x 37cm x 45cm, 18.5kg",,,,
48,,Bags Stock - Grace Collection Products Catalogue V48,,,,14MG2004,Freedom Sports Bag,Bags | Duffle & Sports Bags,,,Bags | Duffle & Sports Bags,,,NO,"Main zippered compartment with bungee elastic cord, Front zippered pocket and an open pouch, Large zippered pocket on both sides, Adjustable and detachable shoulder strap and carry handle",,,600 Denier Nylon,55cm (W) x 25cm (H) x 25cm (D),,G2004.jpg,,,"Royal/Black, Black/Black","Royal-Black, Black-Black",,,,,,,"Top Panel: 15cm (W) x 10cm (H), Front Panel: 15cm (W) x 10cm (H)",,,,,,,1 Position,1 Colour,Plastisol Transfer,,,,,25,32.18,50,30.33,100,29.03,250,26.61,,,,,,,,,,,75,,,,,,,,,"20 units-box, 55cm x 33cm x 56cm, 14.5kg",,,,
48,,Bags Stock - Grace Collection Products Catalogue V48,,,,14MG2004,Freedom Sports Bag,Bags | Duffle & Sports Bags,,,Bags | Duffle & Sports Bags,,,NO,"Main zippered compartment with bungee elastic cord, Front zippered pocket and an open pouch, Large zippered pocket on both sides, Adjustable and detachable shoulder strap and carry handle",,,600 Denier Nylon,55cm (W) x 25cm (H) x 25cm (D),,G2004.jpg,,,"Royal/Black, Black/Black","Royal-Black, Black-Black",,,,,,,"Top Panel: 15cm (W) x 10cm (H), Front Panel: 15cm (W) x 10cm (H)",,,,,,,1 Position,Medium,Embroidery,,,,,25,34.08,50,30.58,100,29.27,250,26.91,,,,,,,,,,,75,,,,,,,,,"20 units-box, 55cm x 33cm x 56cm, 14.5kg",,,,
49,,Bags Stock - Grace Collection Products Catalogue V49,,,,14MG2011,Sumo Sports Bag,Bags | Duffle & Sports Bags,,,Bags | Duffle & Sports Bags,,,NO,"Large centre compartment with U-shaped opening, One large zippered wet pocket at the left, Front large zippered pocket with metal eyelets, One small zippered pocket at the front, Internal retractable trolley system, Additional handle on both sides for easy carry, Removable, adjustable shoulder strap and carry handle, Studded base for durablility",,,1680 Denier Nylon,82cm (W) x 33cm (H) x 37cm (D),,G2011.jpg,,,Black,Black,,, ,,,,"Top Panel: 25cm (W) x 15cm (H), Front Panel: 8cm (W) x 8cm (H)",,,,,,,1 Position,1 Colour,Plastisol Transfer,,,,,25,84.52,50,77.75,100,71.95,250,71.67,,,,,,,,,,,75,,,,,,,,,"5 units-box, 87cm x 38cm x 45cm, 21.5kg",,,,
49,,Bags Stock - Grace Collection Products Catalogue V49,,,,14MG2011,Sumo Sports Bag,Bags | Duffle & Sports Bags,,,Bags | Duffle & Sports Bags,,,NO,"Large centre compartment with U-shaped opening, One large zippered wet pocket at the left, Front large zippered pocket with metal eyelets, One small zippered pocket at the front, Internal retractable trolley system, Additional handle on both sides for easy carry, Removable, adjustable shoulder strap and carry handle, Studded base for durablility",,,1680 Denier Nylon,82cm (W) x 33cm (H) x 37cm (D),,G2011.jpg,,,Black,Black,,, ,,,,"Top Panel: 25cm (W) x 15cm (H), Front Panel: 8cm (W) x 8cm (H)",,,,,,,1 Position,Medium,Embroidery,,,,,25,86.29,50,77.97,100,72.15,250,71.95,,,,,,,,,,,75,,,,,,,,,"5 units-box, 87cm x 38cm x 45cm, 21.5kg",,,,
50,,Bags Stock - Grace Collection Products Catalogue V50,,,,14MG2012,Coach Sports Bag,Bags | Duffle & Sports Bags,,,Bags | Duffle & Sports Bags,,,NO,"Large centre compartment with U shape opening, one front large zipper pocket, large zippered pocket at both sides, one mesh holder inside the left end pocket, removable and adjustable shoulder strap and carry handle, studded base for durability.",,,600 Denier nylon and honeycomb textured nylon,60cm (W) x 27cm (H) x 25cm (D),,G2012.jpg,,,"Black/Royal, black/grey and black/red","Black-Royal, black-grey and black-red",,,,,,,Top Panel: 20cm (W) x 12cm (H) and Front Panel: 12cm (W) x 10cm (H),,,,,,,1 Position,1 Colour,Plastisol Transfer,,,,,25,32.78,50,30.92,100,29.6,250,27.14,,,,,,,,,,,75,,,,,,,,,"15 units-box, 62cm x 36cm x 58cm, 16.5kg",,,,
50,,Bags Stock - Grace Collection Products Catalogue V50,,,,14MG2012,Coach Sports Bag,Bags | Duffle & Sports Bags,,,Bags | Duffle & Sports Bags,,,NO,"Large centre compartment with U shape opening, one front large zipper pocket, large zippered pocket at both sides, one mesh holder inside the left end pocket, removable and adjustable shoulder strap and carry handle, studded base for durability.",,,600 Denier nylon and honeycomb textured nylon,60cm (W) x 27cm (H) x 25cm (D),,G2012.jpg,,,"Black/Royal, black/grey and black/red","Black-Royal, black-grey and black-red",,,,,,,Top Panel: 20cm (W) x 12cm (H) and Front Panel: 12cm (W) x 10cm (H),,,,,,,1 Position,Medium,Embroidery,,,,,25,33.42,50,31.17,100,29.84,250,27.44,,,,,,,,,,,75,,,,,,,,,"15 units-box, 62cm x 36cm x 58cm, 16.5kg",,,,
51,,Bags Stock - Grace Collection Products Catalogue V51,,,,14MG2013,Carerra Sports Bag,Bags | Duffle & Sports Bags,,,Bags | Duffle & Sports Bags,,,NO,"Large centre compartment with straight opening, One front large zipper pocket with organiser, Large zippered pocket at both sides, One zippered mesh holder inside the right end pocket, Removable and adjustable shoulder strap and carry handle, Extra large and thick shoulder pad and carry handle and Studded and padded base for durability and support",,,1680 denier nylon,60cm (W) x 26cm (H) x 35cm (D),,G2013.jpg,,,Black,Black,,,,,,,"Top Panel: 8cm ( W) x 4cm (H), Front Panel: 12cm (W) x 12cm (H)",,,,,,,1 Position,1 Colour,Plastisol Transfer,,,,,25,46.5,50,44.35,100,40.82,250,37.64,,,,,,,,,,,75,,,,,,,,,"10 units-box, 64cm x 33cm x 46cm, 14.5kg",,,,
51,,Bags Stock - Grace Collection Products Catalogue V51,,,,14MG2013,Carerra Sports Bag,Bags | Duffle & Sports Bags,,,Bags | Duffle & Sports Bags,,,NO,"Large centre compartment with straight opening, One front large zipper pocket with organiser, Large zippered pocket at both sides, One zippered mesh holder inside the right end pocket, Removable and adjustable shoulder strap and carry handle, Extra large and thick shoulder pad and carry handle and Studded and padded base for durability and support",,,1680 denier nylon,60cm (W) x 26cm (H) x 35cm (D),,G2013.jpg,,,Black,Black,,,,,,,"Top Panel: 8cm ( W) x 4cm (H), Front Panel: 12cm (W) x 12cm (H)",,,,,,,1 Position,Medium,Embroidery,,,,,25,48.33,50,44.6,100,41.04,250,37.92,,,,,,,,,,,75,,,,,,,,,"10 units-box, 64cm x 33cm x 46cm, 14.5kg",,,,
52,,Bags Stock - Grace Collection Products Catalogue V52,,,,14MG2069,Business Carry Bag,Bags | Backpacks & Backsacks,,,Bags | Satchels,,,NO,"Gusseted compartment closes with clip fastener, Organiser under front flap, Business card holder on back, Adjustable shoulder strap with strong carry handle",,,600 Denier Nylon,34cm (W) x 32cm (H) x 9cm (D),,G2069.jpg,,,"Black, Navy","Black, Navy",,,,,,,20cm (W) x 15cm (H),,,,,,,1 Position,1 Colour,Plastisol Transfer,,,,,25,19.12,50,17.75,100,16.85,250,15.33,,,,,,,,,,,75,,,,,,,,,"50 units-box, 68cm x 41.5cm x 48cm, 19kg",,,,
52,,Bags Stock - Grace Collection Products Catalogue V52,,,,14MG2069,Business Carry Bag,Bags | Backpacks & Backsacks,,,Bags | Satchels,,,NO,"Gusseted compartment closes with clip fastener, Organiser under front flap, Business card holder on back, Adjustable shoulder strap with strong carry handle",,,600 Denier Nylon,34cm (W) x 32cm (H) x 9cm (D),,G2069.jpg,,,"Black, Navy","Black, Navy",,,,,,,20cm (W) x 15cm (H),,,,,,,1 Position,Medium,Embroidery,,,,,25,21.02,50,18,100,17.1,250,15.62,,,,,,,,,,,75,,,,,,,,,"50 units-box, 68cm x 41.5cm x 48cm, 19kg",,,,
53,,Bags Stock - Grace Collection Products Catalogue V53,,,,14MG2130,Transit Backpack,Bags | Backpacks & Backsacks,,,Bags | Backpacks & Backsacks,,,NO,"Main zippered compartment with an inside padded pocket, Second zippered main compartment, Large front pocket with inside organiser, Elastic pocket on both sides, Padded back with adjustable backpack strap and carry handle",,,600 Denier Nylon,32cm (W) x 43cm (H) x 17cm (D),,G2130.jpg,,,"Black/Grey, Navy/Grey","Black-Grey, Navy-Grey",,,,,,,10cm (W) x 8cm (H),,,,,,,1 Position,1 Colour,Plastisol Transfer,,,,,25,33.04,50,31.17,100,29.84,250,27.36,,,,,,,,,,,75,,,,,,,,,"25 units-box, 48cm x 38cm x 60cm, 16.5kg",,,,
53,,Bags Stock - Grace Collection Products Catalogue V53,,,,14MG2130,Transit Backpack,Bags | Backpacks & Backsacks,,,Bags | Backpacks & Backsacks,,,NO,"Main zippered compartment with an inside padded pocket, Second zippered main compartment, Large front pocket with inside organiser, Elastic pocket on both sides, Padded back with adjustable backpack strap and carry handle",,,600 Denier Nylon,32cm (W) x 43cm (H) x 17cm (D),,G2130.jpg,,,"Black/Grey, Navy/Grey","Black-Grey, Navy-Grey",,,,,,,10cm (W) x 8cm (H),,,,,,,1 Position,Medium,Embroidery,,,,,25,33.67,50,31.42,100,30.08,250,27.66,,,,,,,,,,,75,,,,,,,,,"25 units-box, 48cm x 38cm x 60cm, 16.5kg",,,,
54,,Bags Stock - Grace Collection Products Catalogue V54,,,,14MG2134,Harvey Backpack,Bags | Backpacks & Backsacks,,,Bags | Backpacks & Backsacks,,,NO,"Main zippered compartment with inside pocket, Hidden hole for headphones, Large secondary zippered compartment, Front big zippered pocket with mesh bottle holder on each side, Padded adjustable backpack strap and carry handle",,,600 Denier Nylon,34cm (W) x 46cm (H) x 20cm (D),,"G2134_A.jpg, G2134_B.jpg",,,"Bottle/White/Gold, Black/White/Red, Black/White/Gold, Royal/White/Gold, Navy/Red/White","Bottle-White-Gold, Black-White-Red, Black-White-Gold, Royal-White-Gold, Navy-Red-White",,,,,,,12cm (W) x 12cm (H),,,,,,,1 Position,1 Colour,Plastisol Transfer,,,,,25,33.56,50,31.67,100,30.32,250,27.81,,,,,,,,,,,75,,,,,,,,,"25 units-box, 51cm x 40cm x 58cm, 16.5kg",,,,
54,,Bags Stock - Grace Collection Products Catalogue V54,,,,14MG2134,Harvey Backpack,Bags | Backpacks & Backsacks,,,Bags | Backpacks & Backsacks,,,NO,"Main zippered compartment with inside pocket, Hidden hole for headphones, Large secondary zippered compartment, Front big zippered pocket with mesh bottle holder on each side, Padded adjustable backpack strap and carry handle",,,600 Denier Nylon,34cm (W) x 46cm (H) x 20cm (D),,"G2134_A.jpg, G2134_B.jpg",,,"Bottle/White/Gold, Black/White/Red, Black/White/Gold, Royal/White/Gold, Navy/Red/White","Bottle-White-Gold, Black-White-Red, Black-White-Gold, Royal-White-Gold, Navy-Red-White",,,,,,,12cm (W) x 12cm (H),,,,,,,1 Position,Medium,Embroidery,,,,,25,34.17,50,31.92,100,30.56,250,28.11,,,,,,,,,,,75,,,,,,,,,"25 units-box, 51cm x 40cm x 58cm, 16.5kg",,,,
55,,Bags Stock - Grace Collection Products Catalogue V55,,,,14MG2138,Rukus,Bags | Backpacks & Backsacks,,,Bags | Backpacks & Backsacks,,,NO,"Main zippered compartment with a padded laptop holder, One large zippered front pocket and one elastic pocket at one side, Padded back with adjustable strap and carry handle, 19 litre capacity",,,Polycotton Canvas,30cm (W) x 44cm (H) x 15cm (D),,G2138.jpg,,,"Black, Black/Tan, Red, Royal, Navy, Grey","Black, Black-Tan, Red, Royal, Navy, Grey",,,,,,,Front: 8cm (W) x 10cm (H),,,,,,,1 Position,1 Colour,Plastisol Transfer,,,,,25,22.4,50,20.92,100,19.92,250,18.17,,,,,,,,,,,75,,,,,,,,,"20 units-box, 49cm(L) x 44cm(W) x 65cm(H)",,,,
55,,Bags Stock - Grace Collection Products Catalogue V55,,,,14MG2138,Rukus,Bags | Backpacks & Backsacks,,,Bags | Backpacks & Backsacks,,,NO,"Main zippered compartment with a padded laptop holder, One large zippered front pocket and one elastic pocket at one side, Padded back with adjustable strap and carry handle, 19 litre capacity",,,Polycotton Canvas,30cm (W) x 44cm (H) x 15cm (D),,G2138.jpg,,,"Black, Black/Tan, Red, Royal, Navy, Grey","Black, Black-Tan, Red, Royal, Navy, Grey",,,,,,,Front: 8cm (W) x 10cm (H),,,,,,,1 Position,Medium,Embroidery,,,,,25,24.31,50,21.17,100,20.16,250,18.47,,,,,,,,,,,75,,,,,,,,,"20 units-box, 49cm(L) x 44cm(W) x 65cm(H)",,,,
56,,Bags Stock - Grace Collection Products Catalogue V56,,,,14MG2140,Fraser Backpack,Bags | Backpacks & Backsacks,,,Bags | Backpacks & Backsacks,,,NO,"Main zippered compartment with an inside padded pocket, Second zippered main compartment, Front pockets with bungee elastic cord with toggle, Both elastic and zippered pockets on 2 sides, Padded back with adjustable backpack strap and moulded plastic handle",,,600 Denier and Honeycomb Nylon,32cm (W) x 43cm (H) x 19cm (D),,G2140.jpg,,,"Black/Red/Grey, Navy/Red/Grey","Black-Red-Grey, Navy-Red-Grey",,,,,,,7cm (W) x 4cm (H),,,,,,,1 Position,1 Colour,Plastisol Transfer,,,,,25,28.89,50,27.17,100,25.97,250,23.77,,,,,,,,,,,75,,,,,,,,,"25 units-box, 48cm x 39cm x 58cm, 16.5kg",,,,
56,,Bags Stock - Grace Collection Products Catalogue V56,,,,14MG2140,Fraser Backpack,Bags | Backpacks & Backsacks,,,Bags | Backpacks & Backsacks,,,NO,"Main zippered compartment with an inside padded pocket, Second zippered main compartment, Front pockets with bungee elastic cord with toggle, Both elastic and zippered pockets on 2 sides, Padded back with adjustable backpack strap and moulded plastic handle",,,600 Denier and Honeycomb Nylon,32cm (W) x 43cm (H) x 19cm (D),,G2140.jpg,,,"Black/Red/Grey, Navy/Red/Grey","Black-Red-Grey, Navy-Red-Grey",,,,,,,7cm (W) x 4cm (H),,,,,,,1 Position,Medium,Embroidery,,,,,25,30.79,50,27.42,100,26.21,250,24.07,,,,,,,,,,,75,,,,,,,,,"25 units-box, 48cm x 39cm x 58cm, 16.5kg",,,,
