member_supplier_name,membership_number,catalogue_name,brand_name,label_name,appa_product_code,product_code,product_name,product_code_group,categorisation,category_ /_sub category,Memento Category,additional_keywords,product_tags,discontinued_stock,product_description,description_additional,product_features,product_materials,product_item_size,product_packaging_inner,product_image_file_name,alternate_views_image_file_names,group_image_file_name,colours_available_appa,colours_available_supplier,colour_image_file_names,colour_product_codes,product_sizes,size_images,size_product_code,decoration_options_available,decoration_areas,indent_only,branded,custom_field_1,custom_field_2,custom_field_3,price_decoration_description,decoration position ,decoration color,decoration_type,price_product_code,price_notes,MOQ,IOQ,qty_1,sell_1,qty_2,sell_2,qty_3,sell_3,qty_4,sell_4,qty_5,sell_5,qty_6,sell_6,qty_7,sell_7,qty_8,sell_8,additional_charges_name1,additional_charge_value1,Set-up Charge,additional_charges_notes1,additional_charges_name2,additional_charge_value2,additional_charges_notes2,carton_height,carton_width,carton_depth,carton_weight,carton_qty,carton_cubic,carton_notes,freight_description,product_URL
1,S005115,Bags Stock - Grace Collection Products Catalogue V1,,,,14MG1000,Classic Sports Bag,Bags | Duffle & Sports Bags,,,Bags | Duffle & Sports Bags,,,NO,"Zippered front pocket, Zippered pockets at each end, Large main compartment closes with double zip, Strong carry handle with wraparound velcro closure, Studded base for durability",,,600 Denier Nylon,60cm (W) x 33cm (H) x 27cm (D),,G1000.jpg,,,"Black/Yellow, Maroon/White, Navy/White, Black, Black/Red, Black/Royal","Black-Yellow, Maroon-White, Navy-White, Black, Black-Red, Black-Royal",,,,,,,"Top Panel: 20cm (W) x 15cm (H), Front Panel: 25cm (W) x 15cm (H)",,,,,,,1 Position,1 Colour,Plastisol Transfer,,,,,25,35.17,50,33.39,100,33.06,250,28.19,,, ,,,,,,,,75,,,,,,,,,"16 units-box, 55cm x 37cm x 52cm, 21kg",,,,
6,,Bags Stock - Grace Collection Products Catalogue V6,,,,14MG1058,Kingston Toiletry Bag,Bags | Toiletry Bags,,,Bags | Toiletry Bags,,,NO,"Main zippered compartment, One open pocket, Carry handle with wraparound velcro closure",,,600 Denier nylon with waffle mesh,25cm (W) x 16cm (H) x 11cm (D),,"G1058.jpg, G1058_2.jpg",,,Black,Black,,,,,,,Front Panel: 10cm (W) x 6cm (H),,,,,,,1 Position,Medium,Embroidery,,,,,25,17.39,50,15.05,100,14.17,250,13.47,,,,,,,,,,,75,,,,,,,,,"100 units-box, 54cm x 48cm x 49cm, 12kg",,,,
7,,Bags Stock - Grace Collection Products Catalogue V7,,,,14MG1063,Waist Bag,Bags | Belt Bags,,,Bags | Laptop Bags & Tablet Sleeves,,,NO,"Front main zippered pocket, Mobile phone pocket with velcro closure, Document zippered pocket at back",,,600 Denier Nylon,30cm (W) x 13cm (H),,G1063.jpg,,,Black,Black,,,,,,,9cm (W) x 7cm (H),,,,,,,1 Position,1 Colour,Plastisol Transfer,,,,,25,14.53,50,13.84,100,13,250,12.26,,,,,,,,,,,75,,,,,,,,,"100 units-box, 52.5cm x 49cm x 50cm, 18.5kg",,,,
7,,Bags Stock - Grace Collection Products Catalogue V7,,,,14MG1063,Waist Bag,Bags | Belt Bags,,,Bags | Laptop Bags & Tablet Sleeves,,,NO,"Front main zippered pocket, Mobile phone pocket with velcro closure, Document zippered pocket at back",,,600 Denier Nylon,30cm (W) x 13cm (H),,G1063.jpg,,,Black,Black,,,,,,,9cm (W) x 7cm (H),,,,,,,1 Position,Medium,Embroidery,,,,,25,16.44,50,14.1,100,13.25,250,12.58,,,,,,,,,,,75,,,,,,,,,"100 units-box, 52.5cm x 49cm x 50cm, 18.5kg",,,,
8,,Bags Stock - Grace Collection Products Catalogue V8,,,,14MG1069,Johnson Waist Bag,Bags | Belt Bags,,,Bags | Laptop Bags & Tablet Sleeves,,,NO,"Zippered main and front pockets, Velcro phone holder on 1 side, Adjustable waist strap",,,600 Denier Nylon,25cm (W) x 14cm (H) x 8cm (D),,G1069.jpg,,,"Black, Navy","Black, Navy",,,,,,,7cm (W) x 3cm (H),,,,,,,1 Position,1 Colour,Plastisol Transfer,,,,,25,14.53,50,13.84,100,13,250,12.26,,,,,,,,,,,75,,,,,,,,,"100 units-box, 60cm x 38cm x 48cm, 17kg",,,,
8,,Bags Stock - Grace Collection Products Catalogue V8,,,,14MG1069,Johnson Waist Bag,Bags | Belt Bags,,,Bags | Laptop Bags & Tablet Sleeves,,,NO,"Zippered main and front pockets, Velcro phone holder on 1 side, Adjustable waist strap",,,600 Denier Nylon,25cm (W) x 14cm (H) x 8cm (D),,G1069.jpg,,,"Black, Navy","Black, Navy",,,,,,,7cm (W) x 3cm (H),,,,,,,1 Position,Medium,Embroidery,,,,,25,16.44,50,14.1,100,13.25,250,12.58,,,,,,,,,,,75,,,,,,,,,"100 units-box, 60cm x 38cm x 48cm, 17kg",,,,
9,,Bags Stock - Grace Collection Products Catalogue V9,,,,14MG1082,Advent Sports Bag ,Bags | Duffle & Sports Bags,,,Bags | Duffle & Sports Bags,,,NO,"Large centre compartment with U-shaped opening, Large zippered pocket at both sides with metal air holes, Four open pockets inside the front zippered compartment, One zippered pocket on front and another large open pocket at back, Removable and adjustable shoulder strap and carry handle, Studded base for durability",,,600 Denier Nylon,65cm (W) x 30cm (H) x 27cm (D),,G1082.jpg,,,"Royal/White/Black, Red/White/Black, Sky/White/Navy, Maroon/White/Navy, Gold/White/Bottle, Emerald/White/Black","Royal-White-Black, Red-White-Black, Sky-White-Navy, Maroon-White-Navy, Gold-White-Bottle, Emerald-White-Black",,,,,,,"Top Panel: 30cm (W) x 17cm (H), Front Panel: 15cm (W) x 8cm (H)",,,,,,,1 Position,1 Colour,Plastisol Transfer,,,,,25,33.42,50,32.75,100,31.37,250,28.78,,,,,,,,,,,75,,,,,,,,,"15 units-box, 58cm x 34cm x 52cm, 18.5kg",,,,
9,,Bags Stock - Grace Collection Products Catalogue V9,,,,14MG1082,Advent Sports Bag ,Bags | Duffle & Sports Bags,,,Bags | Duffle & Sports Bags,,,NO,"Large centre compartment with U-shaped opening, Large zippered pocket at both sides with metal air holes, Four open pockets inside the front zippered compartment, One zippered pocket on front and another large open pocket at back, Removable and adjustable shoulder strap and carry handle, Studded base for durability",,,600 Denier Nylon,65cm (W) x 30cm (H) x 27cm (D),,G1082.jpg,,,"Royal/White/Black, Red/White/Black, Sky/White/Navy, Maroon/White/Navy, Gold/White/Bottle, Emerald/White/Black","Royal-White-Black, Red-White-Black, Sky-White-Navy, Maroon-White-Navy, Gold-White-Bottle, Emerald-White-Black",,,,,,,"Top Panel: 30cm (W) x 17cm (H), Front Panel: 15cm (W) x 8cm (H)",,,,,,,1 Position,Medium,Embroidery,,,,,25,35.25,50,33,100,31.61,250,29.08,,,,,,,,,,,75,,,,,,,,,"15 units-box, 58cm x 34cm x 52cm, 18.5kg",,,,
10,,Bags Stock - Grace Collection Products Catalogue V10,,,,14MG1117,Stellar Sports Bag,Bags | Duffle & Sports Bags,,,Bags | Duffle & Sports Bags,,,NO,"Large centre compartment with U-shaped opening, Front zippered pockets, Large zippered pockets at each end, Removable, adjustable shoulder strap, Strong carry handle with wraparound and velcro closure, Studded base for durablility",,,600 Denier Nylon,65cm (W) x 29cm (H) x 30cm (D),,G1117.jpg,,,"Black/Red, Black/White, Stone/White, Maroon/White, Navy/Gold, Navy/White, Red/White","Black-Red, Black-White, Stone-White, Maroon-White, Navy-Gold, Navy-White, Red-White",,,,,,,"Top Panel: 26cm (W) x 18cm (H), Front Panel: 16cm (W) x 8cm (H)",,,,,,,1 Position,1 Colour,Plastisol Transfer,,,,,25,33.13,50,31.25,100,29.92,250,27.44,,,,,,,,,,,75,,,,,,,,,"16 units-box, 60cm x 36.5cm x 55cm, 18.5kg",,,,
10,,Bags Stock - Grace Collection Products Catalogue V10,,,,14MG1117,Stellar Sports Bag,Bags | Duffle & Sports Bags,,,Bags | Duffle & Sports Bags,,,NO,"Large centre compartment with U-shaped opening, Front zippered pockets, Large zippered pockets at each end, Removable, adjustable shoulder strap, Strong carry handle with wraparound and velcro closure, Studded base for durablility",,,600 Denier Nylon,65cm (W) x 29cm (H) x 30cm (D),,G1117.jpg,,,"Black/Red, Black/White, Stone/White, Maroon/White, Navy/Gold, Navy/White, Red/White","Black-Red, Black-White, Stone-White, Maroon-White, Navy-Gold, Navy-White, Red-White",,,,,,,"Top Panel: 26cm (W) x 18cm (H), Front Panel: 16cm (W) x 8cm (H)",,,,,,,1 Position,Medium,Embroidery,,,,,25,33.75,50,31.5,100,30.16,250,27.74,,,,,,,,,,,75,,,,,,,,,"16 units-box, 60cm x 36.5cm x 55cm, 18.5kg",,,,
11,,Bags Stock - Grace Collection Products Catalogue V11,,,,14MG1120,Soho Sports Bag,Bags | Duffle & Sports Bags,,,Bags | Duffle & Sports Bags,,,NO,"Large centre compartment with U-shaped opening, One large zippered pocket at the right, One large zippered wet pocket with mesh at the left, Two zippered pockets at the front, Removable and adjustable shoulder strap and carry handle, Studded base for durability",,,600 Denier Nylon,67cm (W) x 28cm (H) x 27cm (D),,G1120.jpg,,,"Royal/Black, Gold/Black, Charcoal/Black, Red/Black, Black/Black, Sky/Navy","Royal-Black, Gold-Black, Charcoal-Black, Red-Black, Black-Black, Sky-Navy",,,,,,,"Top Panel: 25cm (W) x 12cm (H), Front Panel: 10cm (W) x 8cm (H)",,,,,,,1 Position,1 Colour,Plastisol Transfer,,,,,25,35,50,33.23,100,32.9,250,28.06,,,,,,,,,,,75,,,,,,,,,"15 units-box, 62cm x 36cm x 52cm, 16.5kg",,,,
