member_supplier_name~membership_number~catalogue_name~brand_name~label_name~appa_product_code~product_code~product_name~product_code_group~categorisation~category_ /_sub category~Memento Category~additional_keywords~product_tags~discontinued_stock~product_description~description_additional~product_features~product_materials~product_item_size~product_packaging_inner~product_image_file_name~alternate_views_image_file_names~group_image_file_name~colours_available_appa~colours_available_supplier~colour_image_file_names~colour_product_codes~product_sizes~size_images~size_product_code~decoration_options_available~decoration_areas~indent_only~branded~custom_field_1~custom_field_2~custom_field_3~price_decoration_description~decoration position ~decoration color~decoration_type~price_product_code~price_notes~MOQ~IOQ~qty_1~sell_1~qty_2~sell_2~qty_3~sell_3~qty_4~sell_4~qty_5~sell_5~qty_6~sell_6~qty_7~sell_7~qty_8~sell_8~additional_charges_name1~additional_charge_value1~Set-up Charge~additional_charges_notes1~additional_charges_name2~additional_charge_value2~additional_charges_notes2~carton_height~carton_width~carton_depth~carton_weight~carton_qty~carton_cubic~carton_notes~freight_description~product_URL
~~~~~~103M109283~3-In-1 Stylus Key Ring~~World Source~World Source/Stylus Pens~KEYRINGS | NOVELTY~~~No~Rugged tote bag with a large gusset which is ideal for carrying heavy products like supermarket shopping. Has reinforced handles and a cardboard base for added strength. Manufactured from 80gsm eco-friendly non-woven material which is able to be recycled.~~~~H 340mm x W 305mm x Gusset 205mm (excludes handles).~Loose packed.~106980-0.jpg~~~White|Red|Blue|Black~~~~~~~Direct Digital~~~~~~~Item + 1 Digital (Full Colour)~1 Position~Full Colour~Direct Digital~~~~~100~2.06~250~1.85~500~1.68~1000~1.62~2500~1.55~~~~~~~Set Up Charges~0.32~70~~~~~~~~~~~~~http://www.trendscollection.co.nz/item/109729
~~~~~~103M109277~4 Port USB Hub~~World Source~World Source/Stylus Pens~TECHNOLOGY | HUBS & DOCKS~~~No~Rugged tote bag with a large gusset which is ideal for carrying heavy products like supermarket shopping. Has reinforced handles and a cardboard base for added strength. Manufactured from 80gsm eco-friendly non-woven material which is able to be recycled.~~~~H 340mm x W 305mm x Gusset 205mm (excludes handles).~Loose packed.~106980-0.jpg~~~White|Red|Blue|Black~~~~~~~Pad Print~~~~~~~Item + 1 Colour Pad Print (1 colour) ~1 Position~1 Colour~Pad Print~~~~~100~2.96~250~2.75~500~2.55~1000~2.40~2500~2.21~~~~~~~Set Up Charges~0~70~~~~~~~~~~~~~http://www.trendscollection.co.nz/item/109745
~~~~~~103M109277~4 Port USB Hub~~World Source~World Source/Stylus Pens~TECHNOLOGY | HUBS & DOCKS~~~No~Rugged tote bag with a large gusset which is ideal for carrying heavy products like supermarket shopping. Has reinforced handles and a cardboard base for added strength. Manufactured from 80gsm eco-friendly non-woven material which is able to be recycled.~~~~H 340mm x W 305mm x Gusset 205mm (excludes handles).~Loose packed.~106980-0.jpg~~~White|Red|Blue|Black~~~~~~~Direct Digital~~~~~~~Item + 1 Digital (Full Colour)~1 Position~Full Colour~Direct Digital~~~~~100~3.51~250~3.30~500~3.08~1000~2.92~2500~2.69~~~~~~~Set Up Charges~0.32~70~~~~~~~~~~~~~http://www.trendscollection.co.nz/item/109742
~~~~~~103M109425~"4"""" X 6"""" Aluminum Photo Frame"~~World Source~World Source/Stylus Pens~HOMEWARES | PHOTO FRAMES~~~No~Rugged tote bag with a large gusset which is ideal for carrying heavy products like supermarket shopping. Has reinforced handles and a cardboard base for added strength. Manufactured from 80gsm eco-friendly non-woven material which is able to be recycled.~~~~H 340mm x W 305mm x Gusset 205mm (excludes handles).~Loose packed.~106980-0.jpg~~~White|Red|Blue|Black~~~~~~~Pad Print~~~~~~~Item + 1 Colour Pad Print (1 colour) ~1 Position~1 Colour~Pad Print~~~~~100~14.22~250~13.18~500~12.04~1000~11.10~2500~11.04~~~~~~~Set Up Charges~0~70~~~~~~~~~~~~~http://www.trendscollection.co.nz/item/109611
~~~~~~103M109425~"4"""" X 6"""" Aluminum Photo Frame"~~World Source~World Source/Stylus Pens~HOMEWARES | PHOTO FRAMES~~~No~Rugged tote bag with a large gusset which is ideal for carrying heavy products like supermarket shopping. Has reinforced handles and a cardboard base for added strength. Manufactured from 80gsm eco-friendly non-woven material which is able to be recycled.~~~~H 340mm x W 305mm x Gusset 205mm (excludes handles).~Loose packed.~106980-0.jpg~~~White|Red|Blue|Black~~~~~~~Laser Engraving~~~~~~~Item + 1 Position Laser Engrave~1 Position~1 Colour~Laser Engraving~~~~~100~14.40~250~13.35~500~12.20~1000~11.25~2500~11.19~~~~~~~Set Up Charges~0.11~70~~~~~~~~~~~~~http://www.trendscollection.co.nz/item/109394
~~~~~~103M109427~"4"""" X 6"""" Aluminum Photo Frame"~~World Source~World Source/Stylus Pens~HOMEWARES | PHOTO FRAMES~~~No~Rugged tote bag with a large gusset which is ideal for carrying heavy products like supermarket shopping. Has reinforced handles and a cardboard base for added strength. Manufactured from 80gsm eco-friendly non-woven material which is able to be recycled.~~~~H 340mm x W 305mm x Gusset 205mm (excludes handles).~Loose packed.~106980-0.jpg~~~White|Red|Blue|Black~~~~~~~Pad Print~~~~~~~Item + 1 Colour Pad Print (1 colour) ~1 Position~1 Colour~Pad Print~~~~~100~14.40~250~13.35~500~12.20~1000~11.25~2500~11.19~~~~~~~Set Up Charges~0~70~~~~~~~~~~~~~http://www.trendscollection.co.nz/item/109331
~~~~~~103M109427~"4"""" X 6"""" Aluminum Photo Frame"~~World Source~World Source/Stylus Pens~HOMEWARES | PHOTO FRAMES~~~No~Rugged tote bag with a large gusset which is ideal for carrying heavy products like supermarket shopping. Has reinforced handles and a cardboard base for added strength. Manufactured from 80gsm eco-friendly non-woven material which is able to be recycled.~~~~H 340mm x W 305mm x Gusset 205mm (excludes handles).~Loose packed.~106980-0.jpg~~~White|Red|Blue|Black~~~~~~~Laser Engraving~~~~~~~Item + 1 Position Laser Engrave~1 Position~1 Colour~Laser Engraving~~~~~100~14.58~250~13.53~500~12.37~1000~11.40~2500~11.35~~~~~~~Set Up Charges~0.11~70~~~~~~~~~~~~~
~~~~~~103M109427~"4"""" X 6"""" Aluminum Photo Frame"~~World Source~World Source/Stylus Pens~HOMEWARES | PHOTO FRAMES~~~No~Rugged tote bag with a large gusset which is ideal for carrying heavy products like supermarket shopping. Has reinforced handles and a cardboard base for added strength. Manufactured from 80gsm eco-friendly non-woven material which is able to be recycled.~~~~H 340mm x W 305mm x Gusset 205mm (excludes handles).~Loose packed.~106980-0.jpg~~~White|Red|Blue|Black~~~~~~~Direct Digital~~~~~~~Item + 1 Digital (Full Colour)~1 Position~Full Colour~Direct Digital~~~~~100~14.93~250~13.87~500~12.68~1000~11.69~2500~11.64~~~~~~~Set Up Charges~0.32~70~~~~~~~~~~~~~
~~~~~~103M109423~"4"""" X 6"""" Photo Frame"~~World Source~World Source/Stylus Pens~HOMEWARES | PHOTO FRAMES~~~No~Rugged tote bag with a large gusset which is ideal for carrying heavy products like supermarket shopping. Has reinforced handles and a cardboard base for added strength. Manufactured from 80gsm eco-friendly non-woven material which is able to be recycled.~~~~H 340mm x W 305mm x Gusset 205mm (excludes handles).~Loose packed.~106980-0.jpg~~~White|Red|Blue|Black~~~~~~~Pad Print~~~~~~~Item + 1 Colour Pad Print (1 colour) ~1 Position~1 Colour~Pad Print~~~~~100~12.17~250~11.19~500~10.20~1000~9.39~2500~9.35~~~~~~~Set Up Charges~0~70~~~~~~~~~~~~~
~~~~~~103M109423~"4"""" X 6"""" Photo Frame"~~World Source~World Source/Stylus Pens~HOMEWARES | PHOTO FRAMES~~~No~Rugged tote bag with a large gusset which is ideal for carrying heavy products like supermarket shopping. Has reinforced handles and a cardboard base for added strength. Manufactured from 80gsm eco-friendly non-woven material which is able to be recycled.~~~~H 340mm x W 305mm x Gusset 205mm (excludes handles).~Loose packed.~106980-0.jpg~~~White|Red|Blue|Black~~~~~~~Laser Engraving~~~~~~~Item + 1 Position Laser Engrave~1 Position~1 Colour~Laser Engraving~~~~~100~12.35~250~11.37~500~10.36~1000~9.54~2500~9.50~~~~~~~Set Up Charges~0.11~70~~~~~~~~~~~~~
