member_supplier_name,membership_number,catalogue_name,brand_name,label_name,appa_product_code,product_code,product_name,product_code_group,categorisation,category_ /_sub category,Memento Category,additional_keywords,product_tags,discontinued_stock,product_description,description_additional,product_features,product_materials,product_item_size,product_packaging_inner,product_image_file_name,alternate_views_image_file_names,group_image_file_name,colours_available_appa,colours_available_supplier,colour_image_file_names,colour_product_codes,product_sizes,size_images,size_product_code,decoration_options_available,decoration_areas,indent_only,branded,custom_field_1,custom_field_2,custom_field_3,price_decoration_description,decoration position ,decoration color,decoration_type,price_product_code,price_notes,MOQ,IOQ,qty_1,sell_1,qty_2,sell_2,qty_3,sell_3,qty_4,sell_4,qty_5,sell_5,qty_6,sell_6,qty_7,sell_7,qty_8,sell_8,additional_charges_name1,additional_charge_value1,Set-up Charge,additional_charges_notes1,additional_charges_name2,additional_charge_value2,additional_charges_notes2,carton_height,carton_width,carton_depth,carton_weight,carton_qty,carton_cubic,carton_notes,freight_description,product_URL
110,,,,,,80MWL0077,Majestic,,,,Umbrellas | Corporate Umbrella,,,,The ideal corporate and very popular folding umbrella.  With auto open & close so you don't get wet getting in and out of the car!  ,,,4 section steel shaft|wind resistant metal/fibreglass ribs|rubberised handle.,Ribs: 8  Diameter: 97cm  Rib Length: 53cm,,WL0077_Black.jpg,wl0077Black.jpg|wl0077_Navyjpg|wl0077pat.jpg|wl0077r.jpg|WL0077-_Silver.jpg|WL0077-_White.jpg,wl0077Black.jpg|wl0077Navy.jpg|wl0077pat.jpg|wl0077r.jpg|WL0077-Silver.jpg|WL0077-W.jpg,,Black|Navy|Red|Patterned|Silver|White.,,,,,,"Screen Print|Digital Print|Sublimation Print (Aust.only),",200mm wide x 100mm high approx.,,,,,,"Item + 2 Col, 1 Panel Print",1 Position,2 Colour,Screen Print,2 Colour 1 Panel Print,,,,25,23.79,100,21.77,250,19.36,500,17.43,,,,,,,,,,Set Up,200,,,,,,,,,,,,,
111,,,,,,80MWL0077,Majestic,,,,Umbrellas | Corporate Umbrella,,,,The ideal corporate and very popular folding umbrella.  With auto open & close so you don't get wet getting in and out of the car!  ,,,4 section steel shaft|wind resistant metal/fibreglass ribs|rubberised handle.,Ribs: 8  Diameter: 97cm  Rib Length: 53cm,,WL0077_Black.jpg,wl0077Black.jpg|wl0077_Navyjpg|wl0077pat.jpg|wl0077r.jpg|WL0077-_Silver.jpg|WL0077-_White.jpg,wl0077Black.jpg|wl0077Navy.jpg|wl0077pat.jpg|wl0077r.jpg|WL0077-Silver.jpg|WL0077-W.jpg,,Black|Navy|Red|Patterned|Silver|White.,,,,,,"Screen Print|Digital Print|Sublimation Print (Aust.only),",200mm wide x 100mm high approx.,,,,,,"Item + 2 Col, 2 Panel Print",2 Position,2 Colour,Screen Print,2 Colour 2 Panel Print,,,,25,24.74,100,22.66,250,20.19,500,18.19,,,,,,,,,,Set Up,200,,,,,,,,,,,,,
113,,,,,,80MWL0078,Manager,,,,Umbrellas | Compact Umbrella,,,,The latest technology in folding umbrellas with a new safety close feature.  Fibreglass ribs to give strength where it is needed most.  ,,,4 section steel shaft|fibreglass & steel ribs|black rubberised handle.,Ribs: 8  Diameter: 100cm  Rib Length: 57cm,,WL0078_Black.jpg,WL0078_Black.jpg,WL0078_Black.jpg,,Black,,,,,,Screen Print|Digital Print,200mm wide x 100mm high approx.,,,,,,"Item + 1 Col, 1 Panel Print",1 Position,1 Colour,Screen Print,1 Colour 1 Panel Print,,,,25,23.18,100,21.21,250,18.91,500,16.88,,,,,,,,,,Set Up,100,,,,,,,,,,,,,
114,,,,,,80MWL0078,Manager,,,,Umbrellas | Compact Umbrella,,,,The latest technology in folding umbrellas with a new safety close feature.  Fibreglass ribs to give strength where it is needed most.  ,,,4 section steel shaft|fibreglass & steel ribs|black rubberised handle.,Ribs: 8  Diameter: 100cm  Rib Length: 57cm,,WL0078_Black.jpg,WL0078_Black.jpg,WL0078_Black.jpg,,Black,,,,,,Screen Print|Digital Print,200mm wide x 100mm high approx.,,,,,,"Item + 1 Col, 2 Panel Print",2 Position,1 Colour,Screen Print,1 Colour 2 Panel Print,,,,25,24.65,100,22.58,250,20.19,500,18.06,,,,,,,,,,Set Up,100,,,,,,,,,,,,,
115,,,,,,80MWL0078,Manager,,,,Umbrellas | Compact Umbrella,,,,The latest technology in folding umbrellas with a new safety close feature.  Fibreglass ribs to give strength where it is needed most.  ,,,4 section steel shaft|fibreglass & steel ribs|black rubberised handle.,Ribs: 8  Diameter: 100cm  Rib Length: 57cm,,WL0078_Black.jpg,WL0078_Black.jpg,WL0078_Black.jpg,,Black,,,,,,Screen Print|Digital Print,200mm wide x 100mm high approx.,,,,,,"Item + 2 Col, 1 Panel Print",1 Position,2 Colour,Screen Print,2 Colour 1 Panel Print,,,,25,25.6,100,23.47,250,21.01,500,18.82,,,,,,,,,,Set Up,200,,,,,,,,,,,,,
116,,,,,,80MWL0078,Manager,,,,Umbrellas | Compact Umbrella,,,,The latest technology in folding umbrellas with a new safety close feature.  Fibreglass ribs to give strength where it is needed most.  ,,,4 section steel shaft|fibreglass & steel ribs|black rubberised handle.,Ribs: 8  Diameter: 100cm  Rib Length: 57cm,,WL0078_Black.jpg,WL0078_Black.jpg,WL0078_Black.jpg,,Black,,,,,,Screen Print|Digital Print,200mm wide x 100mm high approx.,,,,,,"Item + 2 Col, 2 Panel Print",2 Position,2 Colour,Screen Print,2 Colour 2 Panel Print,,,,25,26.56,100,24.35,250,21.83,500,19.58,,,,,,,,,,Set Up,200,,,,,,,,,,,,,
118,,,,,,80MWL022,Boutique,,,,Umbrellas | Corporate Umbrella,,,,An elegant umbrella with a wooden shaft.  A classically-styled and elegant umbrella with a wooden shaft.  A hook handle completes the vintage look.  ,,,wooden shaft|fibreglass ribs|wooden hook handle,Ribs: 8  Diameter: 104cm  Rib Length: 58cm,,WL022_Fushia.jpg,WL022_Fuschia_open2.jpg|WL022_Purple_open1.jpg|wl022Black.jpg|wl022grey.jpg|wl022_Navyjpg|wl022pat.jpg,WL022_Fuschia_open2.jpg|WL022_Purple_open1.jpg|wl022Black.jpg|wl022grey.jpg|wl022Navy.jpg|wl022pat.jpg,,Black|Navy|Grey|Patterned|Purple|Fuschia,,,,,,Screen Print|Digital Print,200mm wide x 100mm high approx.,,,,,,"Item + 1 Col, 1 Panel Print",1 Position,1 Colour,Screen Print,1 Colour 1 Panel Print,,,,25,15.74,100,14.92,250,13.71,500,12.26,,,,,,,,,,Set Up,100,,,,,,,,,,,,,
119,,,,,,80MWL022,Boutique,,,,Umbrellas | Corporate Umbrella,,,,An elegant umbrella with a wooden shaft.  A classically-styled and elegant umbrella with a wooden shaft.  A hook handle completes the vintage look.  ,,,Wooden shaft|fibreglass ribs|wooden hook handle,Ribs: 8  Diameter: 104cm  Rib Length: 58cm,,WL022_Fushia.jpg,WL022_Fuschia_open2.jpg|WL022_Purple_open1.jpg|wl022Black.jpg|wl022grey.jpg|wl022_Navyjpg|wl022pat.jpg,WL022_Fuschia_open2.jpg|WL022_Purple_open1.jpg|wl022Black.jpg|wl022grey.jpg|wl022Navy.jpg|wl022pat.jpg,,Black|Navy|Grey|Patterned|Purple|Fuschia,,,,,,Screen Print|Digital Print,200mm wide x 100mm high approx.,,,,,,"Item + 1 Col, 2 Panel Print",2 Position,1 Colour,Screen Print,1 Colour 2 Panel Print,,,,25,17.21,100,16.33,250,15.08,500,13.53,,,,,,,,,,Set Up,100,,,,,,,,,,,,,
120,,,,,,80MWL022,Boutique,,,,Umbrellas | Corporate Umbrella,,,,An elegant umbrella with a wooden shaft.  A classically-styled and elegant umbrella with a wooden shaft.  A hook handle completes the vintage look.  ,,,Wooden shaft|fibreglass ribs|wooden hook handle,Ribs: 8  Diameter: 104cm  Rib Length: 58cm,,WL022_Fushia.jpg,WL022_Fuschia_open2.jpg|WL022_Purple_open1.jpg|wl022Black.jpg|wl022grey.jpg|wl022_Navyjpg|wl022pat.jpg,WL022_Fuschia_open2.jpg|WL022_Purple_open1.jpg|wl022Black.jpg|wl022grey.jpg|wl022Navy.jpg|wl022pat.jpg,,Black|Navy|Grey|Patterned|Purple|Fuschia,,,,,,Screen Print|Digital Print,200mm wide x 100mm high approx.,,,,,,"Item + 2 Col, 1 Panel Print",1 Position,2 Colour,Screen Print,2 Colour 1 Panel Print,,,,25,18.17,100,16.69,250,15.97,500,14.35,,,,,,,,,,Set Up,200,,,,,,,,,,,,,
121,,,,,,80MWL022,Boutique,,,,Umbrellas | Corporate Umbrella,,,,An elegant umbrella with a wooden shaft.  A classically-styled and elegant umbrella with a wooden shaft.  A hook handle completes the vintage look.  ,,,Wooden shaft|fibreglass ribs|wooden hook handle,Ribs: 8  Diameter: 104cm  Rib Length: 58cm,,WL022_Fushia.jpg,WL022_Fuschia_open2.jpg|WL022_Purple_open1.jpg|wl022Black.jpg|wl022grey.jpg|wl022_Navyjpg|wl022pat.jpg,WL022_Fuschia_open2.jpg|WL022_Purple_open1.jpg|wl022Black.jpg|wl022grey.jpg|wl022Navy.jpg|wl022pat.jpg,,Black|Navy|Grey|Patterned|Purple|Fuschia,,,,,,Screen Print|Digital Print,200mm wide x 100mm high approx.,,,,,,"Item + 2 Col, 2 Panel Print",2 Position,2 Colour,Screen Print,2 Colour 2 Panel Print,,,,25,19.12,100,17.58,250,15.62,500,14.1,,,,,,,,,,Set Up,200,,,,,,,,,,,,,
