member_supplier_name,membership_number,catalogue_name,brand_name,label_name,appa_product_code,product_code,product_name,product_code_group,categorisation,category_ /_sub category,Memento Category,additional_keywords,product_tags,discontinued_stock,product_description,description_additional,product_features,product_materials,product_item_size,product_packaging_inner,product_image_file_name,alternate_views_image_file_names,group_image_file_name,colours_available_appa,colours_available_supplier,colour_image_file_names,colour_product_codes,product_sizes,size_images,size_product_code,decoration_options_available,decoration_areas,indent_only,branded,custom_field_1,custom_field_2,custom_field_3,price_decoration_description,decoration position ,decoration color,decoration_type,price_product_code,price_notes,MOQ,IOQ,qty_1, Sell Price ,qty_2, sell 2 ,qty_3,sell_3,qty_4,sell_4,qty_5,sell_5,qty_6,sell_6,qty_7,sell_7,qty_8,sell_8,additional_charges_name1,additional_charge_value1,Set-up Charge,additional_charges_notes1,additional_charges_name2,additional_charge_value2,additional_charges_notes2,carton_height,carton_width,carton_depth,carton_weight,carton_qty,carton_cubic,carton_notes,freight_description,product_URL,
,,,,,95,103M100905,Multifunction Pedometer,,Leisure,Leisure/Sport,Outdoors | Fitness | Pedometers,,,No,"Smart multifunction pedometer with a belt clip. It records the number of steps taken, total distance travelled and calories burnt. ",,,,W 46mm x L 45mm x H 25mm.,Individual boxes.,100905-0.jpg,,,clear|white,clear|white,,,,,,Pad Print|Direct Digital,Pad Print 25mm x 25mm.|Direct Digital 20mm x 20mm.,,,,,,,1 Position,1 Colour,Pad Print ,,,100,,100,8.67,250,8.15,500,8.48,1000,7.1,2500,6.39,,,,,,,Printing Per Col/Pos,0.25,50,,,,29,32,40,9.2,200,0.0371,,,http://www.trendscollection.co.nz/item/100905,,
,,,,,95,103M100905,Multifunction Pedometer,,Leisure,Leisure/Sport,Outdoors | Fitness | Pedometers,,,No,"Smart multifunction pedometer with a belt clip. It records the number of steps taken, total distance travelled and calories burnt. ",,,,W 46mm x L 45mm x H 25mm.,Individual boxes.,100905-0.jpg,,,clear|white,clear|white,,,,,,Pad Print|Direct Digital,Pad Print 25mm x 25mm.|Direct Digital 20mm x 20mm.,,,,,,,2 Position,1 Colour,Pad Print,,,100,,100,9.08,250,8.55,500,8.91,1000,6.94,2500,6.74,,,,,,,Pad Print,0.25,100,Pad Print,0.25,,29,32,40,9.2,200,0.0371,,,http://www.trendscollection.co.nz/item/100905,,
,,,,,95,103M100905,Multifunction Pedometer,,Leisure,Leisure/Sport,Outdoors | Fitness | Pedometers,,,No,"Smart multifunction pedometer with a belt clip. It records the number of steps taken, total distance travelled and calories burnt. ",,,,W 46mm x L 45mm x H 25mm.,Individual boxes.,100905-0.jpg,,,clear|white,clear|white,,,,,,Pad Print|Direct Digital,Pad Print 25mm x 25mm.|Direct Digital 20mm x 20mm.,,,,,,,1 Position,Full Colour,Direct Digital,,,100,,100,8.75,250,8.23,500,8.56,1000,7.18,2500,6.46,,,,,,,Direct Digital,0.3,50,,,,29,32,40,9.2,200,0.0371,,,http://www.trendscollection.co.nz/item/100905,,
,,,,,96,103M100911,5 Metre Tape Measure,,Tools,Tools/Tape Measures,Outdoors | Tools,,,No,"Locking tape measure with a tough impact resistant rubber outer case and a five metre metal tape featuring both inches and centimetres. It also has a belt clip and a wrist strap.
",,,,W 35mm x H 75mm x 68mm.,Individual boxes.,100911-0.jpg,,,silver|Black,silver|Black,,,,,,Pad Print|Resin Coated Finish,Pad Print Please refer to template.|Resin Coated Finish Please refer to template.,,,,,,,1 Position,1 Colour,Pad Print ,,,100,,100,6.76,250,6.38,500,6.49,1000,5.49,2500,4.99,,,,,,,Printing Per Col/Pos,0.3,50,,,,36,23,45,22,100,0.0373,,,http://www.trendscollection.co.nz/item/100911,,
,,,,,96,103M100911,5 Metre Tape Measure,,Tools,Tools/Tape Measures,Outdoors | Tools,,,No,"Locking tape measure with a tough impact resistant rubber outer case and a five metre metal tape featuring both inches and centimetres. It also has a belt clip and a wrist strap.
",,,,W 35mm x H 75mm x 68mm.,Individual boxes.,100911-0.jpg,,,silver|Black,silver|Black,,,,,,Pad Print|Resin Coated Finish,Pad Print Please refer to template.|Resin Coated Finish Please refer to template.,,,,,,,2 Position,1 Colour,Pad Print,,,100,,100,7.28,250,6.66,500,7.01,1000,5.94,2500,5.4,,,,,,,Pad Print,0.3,100,Pad Print,0.3,,36,23,45,22,100,0.0373,,,http://www.trendscollection.co.nz/item/100911,,
,,,,,96,103M100911,5 Metre Tape Measure,,Tools,Tools/Tape Measures,Outdoors | Tools,,,No,"Locking tape measure with a tough impact resistant rubber outer case and a five metre metal tape featuring both inches and centimetres. It also has a belt clip and a wrist strap.
",,,,W 35mm x H 75mm x 68mm.,Individual boxes.,100911-0.jpg,,,silver|Black,silver|Black,,,,,,Pad Print|Resin Coated Finish,Pad Print Please refer to template.|Resin Coated Finish Please refer to template.,,,,,,,1 Position,Full Colour,Digital Print,,,100,,100,7.11,250,6.5,500,6.83,1000,5.79,2500,5.26,,,,,,,Resin Coated Finish,0.5,50,,,,36,23,45,22,100,0.0373,,,http://www.trendscollection.co.nz/item/100911,,
,,,,,97,103M100918,Stress Ball,,Promotion,Promotion/Stress Items,Games & Toys | Stress Items,,,No,Round stress relieving ball made from soft polyurethane.,,,,Dia 68mm.,Loose packed.,100918-0.jpg,100918-1.jpg|100918-1.jpg|100918-2.jpg|100918-3.jpg|100918-4.jpg|100918-5.jpg|100918-6.jpg|100918-7.jpg|100918-8.jpg|100918-9.jpg|100918-10.jpg|100918-11.jpg,,White|Yellow|Orange|Pink|Red|Bright|Green|Dark|Green|Light|Blue|Dark|Blue|Purple|Black,White|Yellow|Orange|Pink|Red|Bright|Green|Dark|Green|Light|Blue|Dark|Blue|Purple|Black,100918-1.jpg|100918-1.jpg|100918-2.jpg|100918-3.jpg|100918-4.jpg|100918-5.jpg|100918-6.jpg|100918-7.jpg|100918-8.jpg|100918-9.jpg|100918-10.jpg|100918-11.jpg,,,,,Pad Print,Pad Print 30mm circle.,,,,,,,1 Position,1 Colour,Pad Print,,,100,,100,2.21,250,2.18,500,2.15,1000,1.97,2500,1.79,,,,,,,Printing Per Position,0.3,50,,,,41,36,70,8.5,250,0.1033,,,http://www.trendscollection.co.nz/item/100918,,
,,,,,98,103M100926,Hard Cover Notes and Flags,,Business,Business/Sticky Notes,Stationery | Notebooks & Journals,,,No,Stylish hard cover notebook containing two different sized pads of stick anywhere adhesive notes and a pad of brightly coloured flags.,,,,W 80mm x L 105mm x 18mm.,Loose packed.,100926-0.jpg,100926-1.jpg|100926-1.jpg|100926-2.jpg|100926-3.jpg,,white|Blue|Black,white|Blue|Black,100926-1.jpg|100926-1.jpg|100926-2.jpg|100926-3.jpg,,,,,Pad Print|Screen Print|Direct Digital,Pad Print 50mm x 50mm.|Screen Print 60mm x 80mm.|Direct Digital 70mm x 90mm.,,,,,,,1 Position,1 Colour,Pad Print ,,,100,,100,3.86,250,3.63,500,3.68,1000,3.35,2500,2.82,,,,,,,Printing Per Col/Pos,0.25,50,,,,20,24,45,11.1,100,0.0216,,,http://www.trendscollection.co.nz/item/100926,,
,,,,,98,103M100926,Hard Cover Notes and Flags,,Business,Business/Sticky Notes,Stationery | Notebooks & Journals,,,No,Stylish hard cover notebook containing two different sized pads of stick anywhere adhesive notes and a pad of brightly coloured flags.,,,,W 80mm x L 105mm x 18mm.,Loose packed.,100926-0.jpg,100926-1.jpg|100926-1.jpg|100926-2.jpg|100926-3.jpg,,white|Blue|Black,white|Blue|Black,100926-1.jpg|100926-1.jpg|100926-2.jpg|100926-3.jpg,,,,,Pad Print|Screen Print|Direct Digital,Pad Print 50mm x 50mm.|Screen Print 60mm x 80mm.|Direct Digital 70mm x 90mm.,,,,,,,2 Position,1 Colour,Pad Print,,,100,,100,4.29,250,4.05,500,4.12,1000,3.76,2500,3.17,,,,,,,Pad Print,0.25,100,Pad Print,0.25,,20,24,45,11.1,100,0.0216,,,http://www.trendscollection.co.nz/item/100926,,
,,,,,98,103M100926,Hard Cover Notes and Flags,,Business,Business/Sticky Notes,Stationery | Notebooks & Journals,,,No,Stylish hard cover notebook containing two different sized pads of stick anywhere adhesive notes and a pad of brightly coloured flags.,,,,W 80mm x L 105mm x 18mm.,Loose packed.,100926-0.jpg,100926-1.jpg|100926-1.jpg|100926-2.jpg|100926-3.jpg,,white|Blue|Black,white|Blue|Black,100926-1.jpg|100926-1.jpg|100926-2.jpg|100926-3.jpg,,,,,Pad Print|Screen Print|Direct Digital,Pad Print 50mm x 50mm.|Screen Print 60mm x 80mm.|Direct Digital 70mm x 90mm.,,,,,,,1 Position,Full Colour,Digital Print,,,100,,100,4.29,250,4.05,500,4.12,1000,3.76,2500,3.17,,,,,,,Full Colour Per Position,0.5,50,,,,20,24,45,11.1,100,0.0216,,,http://www.trendscollection.co.nz/item/100926,,
