member_supplier_name,membership_number,catalogue_name,brand_name,label_name,appa_product_code,product_code,product_name,product_code_group,categorisation,category_ /_sub category,Memento Category,additional_keywords,product_tags,discontinued_stock,product_description,description_additional,product_features,product_materials,product_item_size,product_packaging_inner,product_image_file_name,alternate_views_image_file_names,group_image_file_name,colours_available_appa,colours_available_supplier,colour_image_file_names,colour_product_codes,product_sizes,size_images,size_product_code,decoration_options_available,decoration_areas,indent_only,branded,custom_field_1,custom_field_2,custom_field_3,price_decoration_description,decoration position ,decoration color,decoration_type,price_product_code,price_notes,MOQ,IOQ,qty_1, Sell Price ,qty_2, sell 2 ,qty_3,sell_3,qty_4,sell_4,qty_5,sell_5,qty_6,sell_6,qty_7,sell_7,qty_8,sell_8,additional_charges_name1,additional_charge_value1,Set-up Charge,additional_charges_notes1,additional_charges_name2,additional_charge_value2,additional_charges_notes2,carton_height,carton_width,carton_depth,carton_weight,carton_qty,carton_cubic,carton_notes,freight_description,product_URL,
,,,,,90,103M100879,Duo Lip Balm,,Personal,Personal/Sunscreen,Personal Care | Lip Balm,,,No,A handy combination lip balm which features a conventional twist action SPF10 lip balm and a smooth SPF30 roll on lip balm in one convenient tube. It is supplied in a printed box which has full ingredient information included. ,,,,Dia 19mm x L 90mm.,Individual boxes. ,100879-0.jpg,,,white,white,,,,,,Pad Print|Screen Print|Direct Digital,Pad Print 42mm x 10mm.|Screen Print 42mm x 52mm (one colour).|Direct Digital 40mm x 8mm.,,,,,,,1 Position,1 Colour,Pad Print ,,,250,,250,1.57,500,1.56,1000,1.54,2500,1.42,5000,1.3,,,,,,,Printing Per Col/Pos,0.1,50,,,,23,25,65,12,500,0.0374,,,http://www.trendscollection.co.nz/item/100879,,
,,,,,90,103M100879,Duo Lip Balm,,Personal,Personal/Sunscreen,Personal Care | Lip Balm,,,No,A handy combination lip balm which features a conventional twist action SPF10 lip balm and a smooth SPF30 roll on lip balm in one convenient tube. It is supplied in a printed box which has full ingredient information included. ,,,,Dia 19mm x L 90mm.,Individual boxes. ,100879-0.jpg,,,white,white,,,,,,Pad Print|Screen Print|Direct Digital,Pad Print 42mm x 10mm.|Screen Print 42mm x 52mm (one colour).|Direct Digital 40mm x 8mm.,,,,,,,2 Position,1 Colour,Pad Print,,,250,,250,1.75,500,1.67,1000,1.71,2500,1.58,5000,1.45,,,,,,,Pad Print,0.1,100,Pad Print,0.1,,23,25,65,12,500,0.0374,,,http://www.trendscollection.co.nz/item/100879,,
,,,,,90,103M100879,Duo Lip Balm,,Personal,Personal/Sunscreen,Personal Care | Lip Balm,,,No,A handy combination lip balm which features a conventional twist action SPF10 lip balm and a smooth SPF30 roll on lip balm in one convenient tube. It is supplied in a printed box which has full ingredient information included. ,,,,Dia 19mm x L 90mm.,Individual boxes. ,100879-0.jpg,,,white,white,,,,,,Pad Print|Screen Print|Direct Digital,Pad Print 42mm x 10mm.|Screen Print 42mm x 52mm (one colour).|Direct Digital 40mm x 8mm.,,,,,,,1 Position,Full Colour,Digital Print,,,250,,250,1.75,500,1.67,1000,1.71,2500,1.58,5000,1.45,,,,,,,Printing Per Col/Pos,0.2,50,Full Colour Per Position,,,23,25,65,12,500,0.0374,,,http://www.trendscollection.co.nz/item/100879,,
,,,,,90,103M100879,Duo Lip Balm,,Personal,Personal/Sunscreen,Personal Care | Lip Balm,,,No,A handy combination lip balm which features a conventional twist action SPF10 lip balm and a smooth SPF30 roll on lip balm in one convenient tube. It is supplied in a printed box which has full ingredient information included. ,,,,Dia 19mm x L 90mm.,Individual boxes. ,100879-0.jpg,,,white,white,,,,,,Pad Print|Screen Print|Direct Digital,Pad Print 42mm x 10mm.|Screen Print 42mm x 52mm (one colour).|Direct Digital 40mm x 8mm.,,,,,,,2 Position,Full Colour,Digital Print,,,250,,250,2.09,500,2,1000,2.06,2500,1.76,5000,1.63,,,,,,,Printing Per Col/Pos,0.2,100,Full Colour Per Position,0.2,,23,25,65,12,500,0.0374,,,http://www.trendscollection.co.nz/item/100879,,
,,,,,91,103M100889,Wave Metal Key Ring,,Key Rings,Key Rings/Key Rings,Keyrings | Metal Keyrings,,,No,"Wave shaped metal key ring with a plated shiny chrome finish which is nicely presented in a black gift box. It can be branded on the front with a resin coated finish and the back laser engraves to a natural etch.
",,,,W 27mm x L 56mm x 7mm (Dia 34mm ring).,Gift box. ,100889-0.jpg,100889-1.jpg|100889-1.jpg,,silver,silver,100889-1.jpg|100889-1.jpg,,,,,Laser Engraving|Resin Coated Finish,Laser Engraving 30mm x 16mm.|Resin Coated Finish 34.5mm x 19.5mm (plus bleed if required).,,,,,,,1 Position,Tone on Tone,Laser Engrave,,,100,,100,3.24,250,3.18,500,3.13,1000,2.87,2500,2.62,,,,,,,Engraving Per Position,0.4,50,,,,37,24,28,8.6,200,0.0249,,,http://www.trendscollection.co.nz/item/100889,,
,,,,,92,103M100895,Eco Note Pad - Medium,,Business,Business/Note Pads,Stationery | Notebooks & Journals,,,No,Medium size wiro bound note pad with 60 leaves (120 pages) of lined paper. Both the cover and note pad are manufactured from recycled paper.,,,,W 158mm x L 215mm x 15mm.,Loose packed.,100895-0.jpg,,,natural|silver,natural|silver,,,,,,Pad Print|Screen Print,Pad Print 60mm x 60mm.|Screen Print 100mm x 150mm (one colour).,,,,,,,1 Position,1 Colour,Pad Print ,,,100,,100,3.25,250,3.2,500,3.13,1000,2.87,2500,2.62,,,,,,,Printing Per Col/Pos,0.35,50,,,,21,35,44,17.2,120,0.0323,,,http://www.trendscollection.co.nz/item/100895,,
,,,,,93,103M100897,Eco Note Pad - Mini,,Business,Business/Note Pads,Stationery | Notebooks & Journals,,,No,"Mini size, top opening wiro bound note pad with 60 leaves (120 pages) of lined paper. Both the cover and note pad are manufactured from recycled paper.",,,,W 80mm x L 125mm x 15mm.,Loose packed.,100897-0.jpg,,,natural|silver,natural|silver,,,,,,Pad Print,Pad Print 55mm x 55mm.,,,,,,,1 Position,1 Colour,Pad Print,,,250,,250,1.71,500,1.68,1000,1.64,2500,1.5,5000,1.36,,,,,,,Printing Per Col/Pos,0.2,50,,,,22,31,55,19,360,0.0375,,,http://www.trendscollection.co.nz/item/100897,,
,,,,,94,103M100901,Flag Pad,,Business,Business/Sticky Notes,Stationery | Notebooks & Journals,,,No,Pocket size notebook in a compact plastic case which has a pen that locks the case closed when it is inserted in the pen holder. It has a pad of stick anywhere adhesive notes and a pad of adhesive flags in four bright colours. ,,,,W 81mm x L 105mm x 11mm.,Loose packed.,100901-0.jpg,100901-1.jpg|100901-1.jpg,,white,white,100901-1.jpg|100901-1.jpg,,,,,Pad Print|Pad Print|Screen Print|Direct Digital,Pad Print Note Pad - 50mm x 65mm.|Pad Print Pen - 45mm x 6mm.|Screen Print Note pad - 50mm x 90mm.|Direct Digital Note pad - 60mm x 90mm.,,,,,,,1 Position,1 Colour,Pad Print ,,,100,,100,3.17,250,3.11,500,3.06,1000,2.81,2500,2.56,,,,,,,Printing Per Col/Pos,0.25,50,,,,14,43,60,16.9,250,0.0361,,,http://www.trendscollection.co.nz/item/100901,,
,,,,,94,103M100901,Flag Pad,,Business,Business/Sticky Notes,Stationery | Notebooks & Journals,,,No,Pocket size notebook in a compact plastic case which has a pen that locks the case closed when it is inserted in the pen holder. It has a pad of stick anywhere adhesive notes and a pad of adhesive flags in four bright colours. ,,,,W 81mm x L 105mm x 11mm.,Loose packed.,100901-0.jpg,100901-1.jpg|100901-1.jpg,,white,white,100901-1.jpg|100901-1.jpg,,,,,Pad Print|Pad Print|Screen Print|Direct Digital,Pad Print Note Pad - 50mm x 65mm.|Pad Print Pen - 45mm x 6mm.|Screen Print Note pad - 50mm x 90mm.|Direct Digital Note pad - 60mm x 90mm.,,,,,,,2 Position,1 Colour,Pad Print,,,100,,100,3.6,250,3.42,500,3.49,1000,3.21,2500,2.93,,,,,,,Pad Print,0.25,100,Pad Print,0.25,,14,43,60,16.9,250,0.0361,,,http://www.trendscollection.co.nz/item/100901,,
,,,,,94,103M100901,Flag Pad,,Business,Business/Sticky Notes,Stationery | Notebooks & Journals,,,No,Pocket size notebook in a compact plastic case which has a pen that locks the case closed when it is inserted in the pen holder. It has a pad of stick anywhere adhesive notes and a pad of adhesive flags in four bright colours. ,,,,W 81mm x L 105mm x 11mm.,Loose packed.,100901-0.jpg,100901-1.jpg|100901-1.jpg,,white,white,100901-1.jpg|100901-1.jpg,,,,,Pad Print|Pad Print|Screen Print|Direct Digital,Pad Print Note Pad - 50mm x 65mm.|Pad Print Pen - 45mm x 6mm.|Screen Print Note pad - 50mm x 90mm.|Direct Digital Note pad - 60mm x 90mm.,,,,,,,1 Position,Full Colour,Digital Print,,,100,,100,4.46,250,4.25,500,4.36,1000,4.02,2500,3.42,,,,,,,Direct Digital Per Position,1,50,,,,14,43,60,16.9,250,0.0361,,,http://www.trendscollection.co.nz/item/100901,,
